username,score,content,final_review,text,label,label_norm
Kakak Yaya,2,tidak bisa putar film di Tab saya,putar film tab,putar film tab,netral,netral
Mitha dwi.p.j,1,kenapa ga bisa login sih ini!,login sih,login sih,netral,netral
F N,4,kenapa ya netflix saya memutar terus,netflix putar,putar,netral,netral
Reza Lazuardi,1,gak bebas nonton banyak aturan,bebas nonton atur,bebas nonton atur,netral,netral
Mas Surono,5,makasih terbaik,makasih baik,terima kasih,netral,netral
Ano Pano1195,1,"kepada yang terhormat Netflix, tolong lah Netflix di update Flim"" barunya, dan subtitle juga semua bahasa Indonesia",hormat netflix tolong netflix update flim baru subtitle bahasa indonesia,hormat tolong update flim subtitle bahasa indonesia,netral,netral
Rifki Ihsan Maulana,4,tolong paket 1080p di turunkan harganya,tolong paket turun harga,tolong paket turun harga,netral,netral
Wjya83,5,update movie 2025 please,update movie please,update movie please,netral,netral
lalas SN,1,kenapa saya tidak bisa akses app netflix di HP lagi y? kalau di TV aman,akses app netflix aman,akses aman,netral,netral
Aira Doang,1,saya gak bisa daftar ya,daftar,daftar,netral,netral
Rohani Naibaho,5,"Ini kenapa saya gak bisa login"" di Netflix min? tolong bantuannya akun ku error apa gimana yah? saya udah berlangganan sama tapi jadi gak bisa digunain karna gak bisa login. Kenapa ini? mohon konfirmasi nya min.",login netflix min tolong bantu akun error gimana yah udah langgan digunain karna login mohon konfirmasi nya min,login min tolong bantu akun error gimana yah langgan digunain karna login mohon konfirmasi min,netral,netral
Ricky Santoni,5,terima kasih,terima kasih,terima kasih,netral,netral
Satrio Kuncoro Nugroho,1,SAYA TIDAK DAPAT MEMUTAR FILM DI HP INFINIX GT 10 PRO! SUDAH COBA BERBAGAI VERSI AKAN TETAPI TETAP TIDAK BISA?! BODOH KALIAN !,putar film infinix pro coba bodoh,putar film infinix pro coba,netral,netral
ahmad miqdad,1,"tolong netflix akun sy ternyata sdh tidak aktif, dan skrg sy sdh beli pake melalui aplikasi my telkomsel tpi kendalanya tidak bs login di aplikasi netflix, tiap mau login di alihkan jenis berlangganan padahal sy sdh beli paket",tolong netflix akun sdh aktif skrg sdh beli pake aplikasi telkomsel kendala login aplikasi netflix login alih jenis langgan sdh beli paket,tolong akun sdh aktif skrg sdh beli pake telkomsel kendala login login alih jenis langgan sdh beli paket,netral,netral
Kelpin 14,1,"kenapa akhir"" ini flem sakamoto days kita cari gk ada padahal sebelumnya ada",flem sakamoto days cari,flem sakamoto days cari,netral,netral
Mely 088,4,Cocok banget nonton di sini pas gbt,cocok banget nonton pas gbt,cocok banget nonton pas gbt,netral,netral
Enung Ratih indahsari,2,"langganan Netflix mau nonton Wednesday, tapi di pencarian pun ga ada. kenapa ya?",langgan netflix nonton wednesday cari,langgan nonton wednesday cari,netral,netral
Sheva,1,saya baru bayar tadi siang tapi kenapa gak bisa masuk yaa tolong perbaiki netflix,bayar siang masuk yaa tolong baik netflix,bayar siang masuk yaa tolong,netral,netral
Saputri,1,"mau masuk gk bisa, bikin akun juga gk bisa, aplikasi gk jelas",masuk akun aplikasi,masuk akun,netral,netral
