userName,score,content,final_review,cleaned_review,labeling ,predicted_label
Ceuce Onah Marqonah,1,"I really don't like this application, because there are several films and dramas that are not available or not shown in this application, so it's useless to subscribe if it's not complete, for example the One Piece cartoon series is not complete, there are several episodes that are not available or not shown in this application, it's really frustrating to have to subscribe to another application... this is the same as being very detrimental, paying a lot but there is no choice of films that you",really don like this application because there are several films and dramas that are not available not shown this application useless subscribe not complete for example the one piece cartoon series not complete there are several episodes that are not available not shown this application really frustrating have subscribe another application this the same being very detrimental paying lot but there choice films that you,really don like this application because there are several films and dramas that are not available not shown this application useless subscribe not complete for example the one piece cartoon series not complete there are several episodes that are not available not shown this application really frustrating have subscribe another application this the same being very detrimental paying lot but there choice films that you,,positif
M. Rzky.D,1,"apk kadang error sendiri,gabisa login,too many login attemps padahal yang login cuma gw,ke log out terus",apk kadang error gabisa login too many login attemps login log out,kadang error gabisa login too many login attemps login log out,,negatif
Azzahra Gartini,5,selalu puas buat dipake maraton atau nungguin drama korea kesayangan,puas dipake maraton nungguin drama korea sayang,puas dipake maraton nungguin drama korea sayang,,positif
afif muhni,1,setiap perpanjang manual macam2 masalahnya dialihkan ke opsi dompet digital lain masih sama juga applikasi apa ini,panjang manual alih opsi dompet digital applikasi,manual alih opsi dompet digital applikasi,,negatif
Riz 97,1,"kak sya sudah daftar dan sudah bayar juga tpi pas mau masuk email malah salah kata sandi, pdahal sudah bnar lalu di suruh bayar lagi, tolong di respon cepat",kak sya daftar bayar pas masuk email salah sandi pdahal bnar suruh bayar tolong respon cepat,kak sya daftar bayar pas masuk email salah sandi pdahal bnar suruh bayar tolong respon cepat,,negatif
Ismiati Timin,1,"kenapa ya tidak bisa masuk, kata sandi benar email benarr, masuk susah banget mana udah daftar lagiiii, disuruh salin link trus TPI GK bisa masukk",masuk sandi email benarr masuk susah banget udah daftar suruh salin link trus masukk,masuk sandi email benarr masuk susah banget daftar suruh salin link masukk,,negatif
quaneisha syauqiddifa,2,susah login,susah login,susah login,,negatif
Poetera Fadjar,3,"Tolong dong kasih fitur pengaturan pilih audio dan subtitle default. kesel tiap kali nonton/lanjut episode berikutnya, audionya selalu pakai Inggris - dengan deskripsi. masa tiap ganti film atau lanjut episode berikutnya, harus ubah audionya dulu. padahal saya kan ingin selalu pakai audio aslinya dengan subtitle Indonesia.",tolong kasih fitur atur pilih audio subtitle default kesel kali nonton episode audio pakai inggris deskripsi ganti film episode ubah audio pakai audio asli subtitle indonesia,tolong kasih fitur atur pilih audio subtitle default kesel kali nonton episode audio pakai inggris deskripsi ganti film episode ubah audio pakai audio asli subtitle indonesia,,netral
Izhar Ramadhani,1,maksa banget buat langganan.😡😡,maksa banget langgan,maksa banget langgan,,negatif
MANIAC GAMEZ,2,please fix hp saya infinix gt 10 pro awalnya lancar semua video bisa di putar... terus tiba2 beberapa bulan kedepan harus buka tutup netflix kadang bisa kadang gk... untuk video indo pasti terjadi bug ini... udah gw reset segala macam cara seperti ganti pasword dll tetep gk bisa dan terakhir muncul terlalu banyak device yg menggunakan padahal ganti pasword lo.. dan saya berlangganan yg bisa untuk beberapa orang 4 minimal... tapi yg berdapampak hanya di hp saya sangat aneh jika itu bug tolong,please fix infinix pro lancar video putar depan buka tutup netflix kadang kadang video indo bug udah reset ganti pasword dll tetep muncul device ganti pasword langgan orang minimal berdapampak aneh bug tolong,please fix infinix pro lancar video putar buka tutup kadang kadang video indo bug reset ganti pasword dll tetep muncul device ganti pasword langgan orang minimal berdapampak aneh bug tolong,,negatif
Bang Fajar,1,"gak bagus, sdh di bayar perbulan tapi tidak bisa login,,,. ambil aja uangnya sekalian sedekah",bagus sdh bayar bulan login ambil uang sedekah,bagus sdh bayar login ambil uang sedekah,,negatif
zafranrazaq Pratama,5,akhirnya bisa nonton anime dengan legal,nonton anime legal,nonton anime legal,,positif
yucup dua,1,go woke go broke 👎,woke broke,woke broke,,negatif
nurindah sari,2,"duhh,, tidak bisa dibuka aplikasi nya?? walaupun udah di un&install lagi app nya...",duhh buka aplikasi nya udah install app nya,duhh buka install,,negatif
Cucun maryamah,2,opsi dongload di perangkat Windows gaada jir padahal alasan gua langganan di perangkat Windows agar nonton layar lebih besar,opsi dongload perangkat windows gaada jir alas gua langgan perangkat windows nonton layar,opsi dongload perangkat windows gaada jir alas langgan perangkat windows nonton layar,,negatif
Nur Fathiyah,1,"susah bgt Netflix buat di stik tv gak bisa di buka, padahal udh langganan jadi eror terus klo buka Netflix di tv",susah banget netflix stik buka langgan eror buka netflix,susah banget stik buka langgan eror buka,,negatif
Nay A,3,Kaka maaf mau info untuk kualitas Netflix ko sekarang ngga hd lagi ya ? 🙏,kaka maaf info kualitas netflix ngga,kaka maaf info kualitas,,positif
Marini Ulfah,1,"kenapa harus ada pembatalan anggota tiba-tiba tanpa ada konfirmasi ke pelanggan. padahal ambil yang premium yg bisa 4-5 perangkat. di telp ke cust service keterangan nya ada aktivitas mencurigakan, sekarang logika nya ngapaiin ambil 5 perangkat kalau hanya 1 jaringan. sengaja ambil yg bisa 5 perangkat agar ketika kita lagi di luar tetap bisa masuk tanpa harus keluar account dari perangkat yg utama. syarat dan ketentuan nya pun terlalu banyak,ini aplikasi berbayar loh bukan gratis. mengecewakan!",batal anggota konfirmasi langgan ambil premium perangkat telp cust service terang nya aktivitas curiga logika nya ngapaiin ambil perangkat jaring sengaja ambil perangkat masuk account perangkat utama syarat tentu nya aplikasi bayar loh gratis kecewa,batal anggota konfirmasi langgan ambil premium perangkat telp cust service terang aktivitas curiga logika ngapaiin ambil perangkat jaring sengaja ambil perangkat masuk account perangkat utama syarat bayar loh gratis kecewa,,negatif
Hafidz Nugraha,4,tombol download kadang ilang kadang muncul,tombol download kadang ilang kadang muncul,tombol download kadang ilang kadang muncul,,negatif
gita desimianto,1,kenapa tidak bisa daftar akun? selalu muncul perintah diperlukan pembaruan,daftar akun muncul perintah baru,daftar akun muncul perintah,,netral
Moon Zheng,1,masa videonya gak bisa diputar loading mulu,video putar loading mulu,video putar loading mulu,,netral
Regata gaming,1,"resolusi di handphone saya gk bisa di ubah padahal HP saya termasuk yg yg bisa menggunakan resolusi HD, dan saja juga sudah langganan paket yg bisa nonton HD tapi gk bisa pke.. jadi selagi belum bisa si ubah saya bakal kasih ranting satu",resolusi handphone ubah resolusi langgan paket nonton pke selagi ubah kasih ranting,resolusi handphone ubah resolusi langgan paket nonton pke selagi ubah kasih ranting,,negatif
Farid A. Rosidy,1,Nggak bisa dibuka!!!,buka,buka,,negatif
Citra Ayu Lestari,2,"skrng pendaftaran masuknya emg seribet ini ya?, memperhambat bgt, jdi ga mood nonton yg ada.",skrng daftar masuk emg seribet hambat banget jdi mood nonton,skrng daftar masuk emg seribet hambat banget jdi mood nonton,,negatif
jua akbar,5,sangat baik untuk menonton film,tonton film,tonton film,,netral
Ujo,1,"NETFLIX INDONESIA 👎, GK lengkap sumpah udh langganan mahal""",netflix indonesia lengkap sumpah langgan mahal,indonesia lengkap sumpah langgan mahal,,negatif
tomy nur wibowo,1,jangan berlangganan di netfilx nanti langganan kalian tiba tiba di batalkan tanpa keterangan yang jelas dan tidak bisa di refund!!!!!,langgan netfilx langgan batal terang refund,langgan netfilx langgan batal terang refund,,negatif
lieber 1202,1,ini pertama kali ikut boikot aplikasi karna film yg menghina kristen,kali boikot aplikasi karna film hina kristen,kali boikot karna film hina kristen,,negatif
Sitompul Yuri,1,"aplikasi bodoh memaksa upgrade, ga jelas",aplikasi bodoh paksa upgrade,paksa upgrade,,negatif
gak penting cuk,3,bagaimana caranya untuk stop langganan netflix,stop langgan netflix,stop langgan,,negatif
MNKY D LUFFY,1,"pas coba masuk akun google kaga bisa kocak padahal sandi udah benar , rela rela ganti sandi demi masuk eh ternyata tetap nga bisa masuk , apk sampah",pas coba masuk akun google kaga kocak sandi udah rela rela ganti sandi masuk nga masuk apk sampah,pas coba masuk akun google kaga kocak sandi rela rela ganti sandi masuk nga masuk sampah,,negatif
Rafka Saput,1,pas pengen login kayak gk jelas gitu,pas ken login kayak gitu,pas ken login kayak gitu,,negatif
puspita sari17,5,seruuuu banyak filem filem horor suka banget sudah mau 1 tahun langganan terus,seru filem filem horor suka banget langgan,seru filem filem horor suka banget langgan,,positif
Uzzu Kwon,1,"Sengaja nyelipin LGBT sama sex di setiap series baru, ga penting banget. Drakor-drakor jadi kotor banget isinya, netflix penghancur drakor...",sengaja nyelipin lgbt sex series banget drakor drakor kotor banget isi netflix hancur drakor,sengaja nyelipin lgbt sex series banget drakor drakor kotor banget isi hancur drakor,,negatif
hakim gaming,4,"tolong lebih diperbanyak lagi dubbing indo nya, di anime populer film populer ataupun series populer",tolong banyak dubbing indo nya anime populer film populer series populer,tolong dubbing indo anime populer film populer series populer,,netral
Abu Fatih,1,Cancel Netflix for the health of your kids,cancel netflix for the health your kids,cancel for the health your kids,,positif
Dian Agung Simatupang,1,"Halo selamat malam admin, untuk anime ONE PIECE, episode 751-1088 kenapa tidak ada ya? Mohon ditanggapi, terima kasih🙏",halo selamat malam admin anime one piece episode mohon tanggap terima kasih,halo selamat malam admin anime one piece episode mohon tanggap terima kasih,,netral
Nadya Dwi lestari,1,rating ga seberapa loginnya susah minta ampun mana mahal bayarnya kocakk pantesan sepi 🤣🤣,rating loginnya susah ampun mahal bayar kocakk pantesan sepi,rating loginnya susah ampun mahal bayar kocakk pantesan sepi,,negatif
Ali Tolip,1,Payah gak bisa dibuka percuma di donload,payah buka donload,payah buka donload,,negatif
riyanti 27,1,loginnya susah bgt gilak padahal sandi email ama no hp ga salahhh lohhh knp ga valid Mulu,loginnya susah banget gilak sandi email ama salah loh knp valid mulu,loginnya susah banget gilak sandi email ama salah loh knp valid mulu,,negatif
Martin,1,"kok ga bisa streaming ya ? check jaringan oke, wifi lancar, video muter2, sudah selesai muter tidak muncul2 videonya?? makin ga jelas apk",streaming check jaring oke wifi lancar video muter selesai muter muncul video apk,streaming check jaring oke wifi lancar video muter selesai muter muncul video,,positif
M. Rifki Ferdiansyah,5,"Tambahin fitur tonton nanti dong min, fitur daftar saya pantesnya cuman buat film yang favorite banget filmnya",tambahin fitur tonton min fitur daftar pantesnya cuman film favorite banget film,tambahin fitur tonton min fitur daftar pantesnya cuman film favorite banget film,,netral
Habiburrahman Elshirazyyy,1,"aneh banget, tiba tiba saldo saya terpotong dan transaksi munujukan berlangganan dengan netflix, saya tidak pernah pakai netflix, tidak punya akun, kenapa saldo saya bisa terpotong tiba tiba, ANEH BANGET",aneh banget saldo potong transaksi munujukan langgan netflix pakai netflix akun saldo potong aneh banget,aneh banget saldo potong transaksi munujukan langgan pakai akun saldo potong aneh banget,,negatif
Alpian,1,jangan download aplikasi ngk jelas,download aplikasi ngk,download ngk,,negatif
Garou Toriyama,1,trash streaming,trash streaming,trash streaming,,negatif
roihan 01,4,cukup menarik tapi kalau mau premium bukan 1 bayar aku maunya sekali bayar.,tarik premium bayar mau bayar,tarik premium bayar bayar,,negatif
Qfficialyari _STeh,1,"Disuruh bayar ., Daftar aja suruh bayar. Gw kira ada yang free watch.",suruh bayar daftar suruh bayar free watch,suruh bayar daftar suruh bayar free watch,,negatif
Willbrordus Wolo domaking,5,tolong tambahkan film detective Conan terbaru,tolong tambah film detective conan baru,tolong film detective conan,,netral
Ikbal Nazrul,4,ini tempat nonton paling favorit pokoknya👍👍👍👍👍👍👍👍👍👍👍👍,nonton favorit pokok,nonton favorit pokok,,positif
Faisal ASEPZz,1,sumpah bener bener nggaa wor it daftar nya suruh bayar,sumpah bener bener nggaa wor daftar nya suruh bayar,sumpah bener bener nggaa wor daftar suruh bayar,negatif,negatif
Klarisa anesti Indah S,1,kecewa banget udah daftar udah bayar malah ga bisa log in alasan gangguan terus,kecewa banget udah daftar udah bayar log alas ganggu,kecewa banget daftar bayar log alas ganggu,negatif,negatif
Sari Winata,1,"udah berlangganan 1080p, kualitasnya masih jelek aja eek",udah langgan kualitas jelek eek,langgan kualitas jelek eek,,negatif
GM ADDICTED BOOK,1,susah,susah,susah,,negatif
Warung Hp,1,"dulu ga da bayar apa pun kecuali VIP, ini di harus kan walau bukan member VIP , g guna .. duit duit Mulu kalian heran gw..",bayar kecuali vip member vip duit duit mulu heran,bayar kecuali vip member vip duit duit mulu heran,,negatif
Tang chanel,1,"saya juga download masuknya sulit sekali hrs email,email dah g bisa kepake padahal mau nonton aja ribet... uninstall deh",download masuk sulit hrs email email dah kepake nonton ribet uninstall deh,download masuk sulit hrs email email dah kepake nonton ribet uninstall,,negatif
Anissa kiren,1,setiap mau nonton ko loading terus ya aneh,nonton loading aneh,nonton loading aneh,,negatif
Ilham Ramadhan,1,pembayaran jangan Oto debit Shopee dong!! menyusahkan.ubah pembayaran Via Shopee jadi manual!!!!,bayar oto debit shopee susah ubah bayar via shopee manual,bayar oto debit shopee susah ubah bayar via shopee manual,,negatif
A Haigal Wiriawan,1,gabisa nonton saya,gabisa nonton,gabisa nonton,,negatif
Indra Saputra,1,"ini maksudnya apa? kenapa pembayaran nya langsung ambil uang saya di dana? tanpa ada minta verifikasi atau konfirmasi? saya jga punya kebutuhan lain, saya belum bayar kalau blum terpenuhi kebutuhan lain, aplikasi kurang ajar memang kau",maksud bayar nya langsung ambil uang dana verifikasi konfirmasi jga butuh bayar blum penuh butuh aplikasi ajar kau,maksud bayar langsung ambil uang dana verifikasi konfirmasi jga butuh bayar blum penuh butuh ajar kau,,negatif
Amalia Zean,3,"udah bayar, tp klo nonton dihp jadi ky ancur gt, mana ngeglitch lagi.",udah bayar nonton dihp ancur ngeglitch,bayar nonton dihp ancur ngeglitch,,negatif
Rereee,2,apaan ni gabisa login pdhal Gmail sama sandi dah bener,gabisa login pdhal gmail sandi dah bener,gabisa login pdhal gmail sandi dah bener,,negatif
Taufik kurniawan,1,"login bayar ga masuk2,parah sitemnya",login bayar masuk parah sitemnya,login bayar masuk parah sitemnya,,negatif
Prov Jogja,3,pliss Netflix tambah kan banyak lagi film dan jangan sampai menjadi film bajakan gratis di google,pliss netflix film film baja gratis google,pliss film film baja gratis google,,netral
Qamarul S,1,this is your own Fault realize what mistake you are,this your own fault realize what mistake you are,this your own fault realize what mistake you are,,negatif
zae 69,4,tolonglah jangan pembayaran jangan otomatis,tolong bayar otomatis,tolong bayar otomatis,,negatif
Lia Veronika,2,Netflix kenapa di smart TV gak bisa kebuka?,netflix smart buka,smart buka,,negatif
kanaya salsa,1,aplikasi gajelas orang mau nonton aja dipersulit login nya gw saranin kalo mau pake apk ini jangan mau yah lebih baik cari apk yang lain aja,aplikasi gajelas orang nonton sulit login nya saranin kalo pake apk yah cari apk,gajelas orang nonton sulit login saranin kalo pake yah cari,,negatif
dara Putri,1,kodenya Netflix tidak dikasih jadi nggak bisa masuk gimana coba ini aplikasi masa nggak kasih kodenya 👎👎👎👎👎,kode netflix kasih masuk gimana coba aplikasi kasih kode,kode kasih masuk gimana coba kasih kode,,netral
Permanaa Rezi,1,"Sudah berhenti berlangganan tapi tetep saja uang di rekening ke ambil,, gajelas orang udah berhenti tapi masih tetep ngambil aja udah kaya nyolong",henti langgan tetep uang rekening ambil gajelas orang udah henti tetep ngambil udah kaya nyolong,henti langgan tetep uang rekening ambil gajelas orang henti tetep ngambil kaya nyolong,,negatif
Julia Lia,1,"SUSAH SEKALI UNTUK DAFTAR DI APLIKASI INI, AKU HARUS MEMBAYAR APLIKASI ITU!!!! PADAHAL NAMA EMAIL KU SUDAH BENAR TAPI TETAP SAJA TIDAK BISA!!!",susah daftar aplikasi bayar aplikasi nama email,susah daftar bayar nama email,,negatif
Imam Safiq,1,"login gagal terus, padahal itu akun utama saya. mana skrg gak bisa masuk gara² keseringan login. sia² isi paket netflix. buang² uang aja!",login gagal akun utama skrg masuk gara sering login sia isi paket netflix buang uang,login gagal akun utama skrg masuk gara login sia isi paket buang uang,,negatif
Yoga Hadi,5,jangan donlod kita termasuk nya du peraas!,donlod nya peraas,donlod peraas,,negatif
Abi,1,gambarnya brebek gak jelas percuma langganan padahal udah support wifi tetep aja gambarnya brebekkk kaya kaset kusut gak recommen banget.,gambar brebek langgan udah support wifi tetep gambar brebek kaya kaset kusut recommen banget,gambar brebek langgan support wifi tetep gambar brebek kaya kaset kusut recommen banget,,negatif
Cupang Cupang,4,"very good.. can watch movies with family, it's just that there are too few movies, sometimes the movies we are looking for are mostly not available. we ask that more be provided so that we can enjoy all the movies we want to see. thank you.",very good can watch movies with family just that there are too few movies sometimes the movies are looking for are mostly not available ask that more provided that can enjoy all the movies want see thank you,very good can watch movies with family just that there are too few movies sometimes the movies are looking for are mostly not available ask that more provided that can enjoy all the movies want see thank you,,positif
Leonardo Chen,1,Netflix buat semua orang jadi terpengaruh Krn aplikasi Netflix TDK mungkin membuat bahagia kebanyakan Indonesia rata rata semua saya gak tertarik mohon tolong di hapus aplikasi ini biar orang gak nonton lagi 😠😠😠😠😠😠😠😠😠😠😠😠😠,netflix orang pengaruh krn aplikasi netflix tdk bahagia banyak indonesia tarik mohon tolong hapus aplikasi biar orang nonton,orang pengaruh bahagia indonesia tarik mohon tolong hapus biar orang nonton,,negatif
Ahmad Nurhaq,1,daftar akun sangat rumit aplikasi tidak bagus,daftar akun rumit aplikasi bagus,daftar akun rumit bagus,,positif
Armi Kartika,1,apa2n sih netflix.. udh isi langganan malah kluar sndiri ga jelas g bisa masuk,apan sih netflix isi langgan kluar sndiri masuk,apan sih isi langgan kluar sndiri masuk,,negatif
Gideon Dolly Lembang,1,huuuuuu banyak agenda LGBT nya 🤢 🤮,agenda lgbt nya,agenda lgbt,,negatif
Oni Pertma,2,parah padahal aku sudah berhenti berlangganan tiba tiba dana ke sedot secara otomatis..padahal apk sudah di hapus. jadi terpaksa download lagi gara gara saldo ke potong otomatis heemm,parah henti langgan dana sedot otomatis apk hapus paksa download gara gara saldo potong otomatis heemm,parah henti langgan dana sedot otomatis hapus paksa download gara gara saldo potong otomatis heemm,,negatif
Via. JM,2,padahal udh gak langganan tapi ttp aja saldo kita di potong seenaknya kesel banget,langgan ttp saldo potong kesel banget,langgan ttp saldo potong kesel banget,,negatif
sonia ayu,1,eror,eror,eror,negatif,negatif
Wahyu Aimita,1,tidak bisa memutar filmnya.muncul kesalahan e100 terus.di tab atau hp juga aplikasinya tidak bisa di update.parah sudah bayar langganan dengan langkah2 yg ribet hasilnya ga bisa diputar filmnya semua.nyesel langganan,putar film muncul salah tab aplikasi update parah bayar langgan langkah ribet hasil putar film nyesel langgan,putar film muncul salah tab update parah bayar langgan langkah ribet hasil putar film nyesel langgan,,netral
Gunowidjojo,1,nyesel daftar + bayar.. film nya ga lengkap.. aplikasi nipu,nyesel daftar bayar film nya lengkap aplikasi nipu,nyesel daftar bayar film lengkap nipu,negatif,netral
Lilya Jsf,1,Kesel banget sama Netflix film bagus eh di cut off gk dilanjut seasonnya.... banyak bgt malah. klian tuh liat rating dr orng yg nonton donk.. klo rating bagus ya lanjutin jangan berdasarkan quantity... kadang ada season 2 yg pertama gk ada. yg ada aq cari di applikasi lain yg pertama dan mending lanjut nonton disana.....,kesel banget netflix film bagus cut off lanjut seasonnya banget klian tuh liat rating orng nonton donk rating bagus lanjutin dasar quantity kadang season cari applikasi mending nonton sana,kesel banget film bagus cut off seasonnya banget klian tuh liat rating orng nonton donk rating bagus lanjutin dasar quantity kadang season cari applikasi mending nonton,negatif,positif
Eko Prasatriyo,1,saya ingin berhenti langganan gimana yah ka caranya soalnya saya enggak pernah merasa berlangganan tapi tiba² saja ada notice di dana saya potongan untuk topup Netflix.. tolong dong ka kasih tau caranya saya mau berhenti berlangganan,henti langgan gimana yah langgan notice dana potong topup netflix tolong kasih tau henti langgan,henti langgan gimana yah langgan notice dana potong topup tolong kasih tau henti langgan,,negatif
faizalelvan,1,kaga jelas anj kaga bisa login nih Netflix perbaiki dong developer,kaga anj kaga login netflix baik developer,kaga kaga login developer,,negatif
SUGENG PRAPTIONO,5,Opsional,opsional,opsional,,negatif
Hiroki Matsumoto,1,dubbing Indonesia harus semua acara harus masa dubbing ada 2 suara asli sama suara dubbing,dubbing indonesia acara dubbing suara asli suara dubbing,dubbing indonesia acara dubbing suara asli suara dubbing,,negatif
Papa Americano Channel,1,aplikasi lol gak berlangganan malah potong saldo dana,aplikasi lol langgan potong saldo dana,langgan potong saldo dana,,negatif
hendy satya,1,aneh suruh donload2 trus padahal gk gratisan,aneh suruh donload trus gratis,aneh suruh donload gratis,,negatif
Muhamad Alfin Alfiansyah,1,cancel Netflix for health your kids,cancel netflix for health your kids,cancel for health your kids,,negatif
sukun 12,1,canceled netflix,canceled netflix,canceled,,negatif
ZEO MASTER,3,Subtitlenya aneh seperti langsung di translate dari google tidak menggunakan bahasa yang baku aneh padahal aplikasi berbayar tapi subtitlenya sembarang jauh lebih bagus subtitle pada film bajakan tolong perbaiki subtitle kalian netflix saya tidak nyaman menonton jika subtitlenya tidak jelas,subtitlenya aneh langsung translate google bahasa baku aneh aplikasi bayar subtitlenya sembarang bagus subtitle film baja tolong baik subtitle netflix nyaman tonton subtitlenya,subtitlenya aneh langsung translate google bahasa baku aneh bayar subtitlenya sembarang bagus subtitle film baja tolong subtitle nyaman tonton subtitlenya,,negatif
Dwi Putri,1,"biasanya bagus smakin kesini tmbh gak jelas,gak bsa nonton d hp hrs bkin akun lg,biasa jg nonton d hp ribet bngt,,ak kn gk tiap hari d rumah jd sering nonton d hp ni mlh gk bsa,ak kn jg bayar. ak mau ngbisin bln ini aja gk mau lngganan lg,dana jg ak kosongin,,klo d isi psti lngsung d potong. bakal tk uniinstal.",bagus smakin kesini tmbh bsa nonton hrs bkin akun nonton ribet banget rumah nonton mlh bsa bayar ngbisin bln lngganan dana kosongin isi psti lngsung potong uniinstal,bagus smakin kesini tmbh bsa nonton hrs bkin akun nonton ribet banget rumah nonton mlh bsa bayar ngbisin bln lngganan dana kosongin isi psti lngsung potong uniinstal,,negatif
Akbar ganteng,1,gabisa masuk ke aplikasi!!!!! mohon diperbaiki..,gabisa masuk aplikasi mohon baik,gabisa masuk mohon,,negatif
To the Moon,1,Hati2x netflix bnyak film isi ttg non binary...gender fluid...aplagi ada di film anak2x...ngajarin ttg gender...,hatix netflix bnyak film isi ttg non binary gender fluid aplagi film anakx ngajarin ttg gender,hatix bnyak film isi ttg non binary gender fluid aplagi film anakx ngajarin ttg gender,,netral
Lly Sftry,1,saldo gue kepotong trs cara berhenti nya gimana anj😭,saldo gue potong henti nya gimana anj,saldo potong henti gimana,,negatif
gdra 12,5,danger for your kids LGBT support for sattan...,danger for your kids lgbt support for sattan,danger for your kids lgbt support for sattan,,negatif
eko septian,5,"Sekedar Saran untuk Netflix agar lebih memperbanyak update film terbaru dari bioskop, agar jadi pilihan terbaik bagi para penikmat Netflix",dar saran netflix banyak update film baru bioskop pilih baik nikmat netflix,dar saran update film bioskop pilih nikmat,,netral
Wifionly Crb,1,Apakah langganan di Netflix bisa di batalkan dan saldo kembali?,langgan netflix batal saldo,langgan batal saldo,,negatif
Vikaso Estilo,5,Belum bisa kebuka aplikasinya..,buka aplikasi,buka,,negatif
Deni Fauzi,3,yang mau berlangganan mending jangan karena film yang ada jadul semua,langgan mending film jadul,langgan mending film jadul,,netral
nur azizah Perwitasari,1,kenapa harus berbayar sih. kasih keringanan dong biar yang Ndak punya duit bisa nonton buat hiburan gitu lah.. 😭 dan pas lihat ulasan dibawah ada yang sampai kepotong 2 kali jadi nyesel saya download tadi. sudah aku hapus lagi jadinya. Ndak jadi nonton film di Netflix,bayar sih kasih ringan biar ndak duit nonton hibur gitu pas lihat ulas bawah potong kali nyesel download hapus ndak nonton film netflix,bayar sih kasih ringan biar ndak duit nonton hibur gitu pas lihat ulas potong kali nyesel download hapus ndak nonton film,,negatif
Halvac Martha,1,aduh saya tidak bisa login lagi kakak,aduh login kakak,aduh login kakak,,negatif
admelvandi busana.02,1,Tidak ada pilihan metode pembayaran.,pilih metode bayar,pilih metode bayar,,negatif
-Dyy77,1,aplikasi pea,aplikasi pea,pea,,negatif
Anjas Yanuar,1,si anjing babi,anjing babi,anjing babi,,negatif
Arvi N,1,bayar apaan dah?😹,bayar dah,bayar dah,,negatif
Pemuda Hijrah,1,"padahal seingat saya ngak pernah pencet beli premium malah tiba"" beli premium langsung ilang duit saya di dana 65k ngak ada prosedurnya gimana"" langsung beli yahh bingung dong saya knp tiba"" kebeli.",ngak pencet beli premium beli premium langsung ilang duit dana ngak prosedur gimana langsung beli yahh bingung knp kebel,ngak pencet beli premium beli premium langsung ilang duit dana ngak prosedur gimana langsung beli yahh bingung knp kebel,,negatif
Gregorius Aldo,1,"Kalo memang cara masuk nya itu pakai vocer ya tinggal bilang aja, aku berjuang 4 jam untuk masuk akun ehhh ternyata pakai duit juga, Sekali mau bayar ehh gak mampu karena uang dana gak ada, tapi kan kalo memang gak bisa ya gak perlu lanjukan tu pendaptaran kan sekali aku isi dana untuk isi listrik ehhh malah abis diambil tu dana ku dasar apk gak ngotak. Udah gak jelas makin gak ada otak .lain kali kalo buat apk tu yang benar.",kalo masuk nya pakai vocer tinggal bilang juang jam masuk akun pakai duit bayar ehh uang dana kalo lanjuk pendaptaran isi dana isi listrik abis ambil dana dasar apk ngotak udah otak kali kalo apk,kalo masuk pakai vocer tinggal bilang juang jam masuk akun pakai duit bayar ehh uang dana kalo lanjuk pendaptaran isi dana isi listrik abis ambil dana dasar ngotak otak kali kalo,,negatif
Zaenudin Syah putra,5,APK NONTON FILM FAVORIT❤❤,apk nonton film favorit,nonton film favorit,,netral
Aulia Lubis,1,"Netflix sekarang lok jadi hancur2an ya, jelek aplikasinya, TDK seperti dulu wktu baru2 buka, payah bgt skg, filmnya lumayan jadul TPI masih ok lah , tapi yg skg buka di awalnya gak bisa2, Uda di hapus trus download lagi masih gak bisa kebuka ....parah dah !!",netflix lok hancur jelek aplikasi tdk wktu buka payah banget skg film lumayan jadul oke skg buka uda hapus trus download buka parah dah,lok hancur jelek wktu buka payah banget skg film lumayan jadul oke skg buka uda hapus download buka parah dah,,negatif
RUDI GUNAWAN aozora,1,bad,bad,bad,,negatif
Elios Sansan,1,kenapa si kok netflix gak mau mutet d hp loading mulu.giliran d tv bisa tv d hp ngga bisa padahal udah berlangganan lohh,netflix mutet loading mulu gilir ngga udah langgan lohh,mutet loading mulu gilir langgan lohh,,negatif
Abhelian SaputrA,1,"film nya gak update, update pun lama",film nya update update,film update update,,netral
Dafi Duck,2,"engga komplit ,pengen cari film lama ,kaya the lord off the ring ,the Hobbit ,Thor ya pokonya banyak Hollywood yg engga ada",engga komplit ken cari film kaya the lord off the ring the hobbit thor poko hollywood engga,engga komplit ken cari film kaya the lord off the ring the hobbit thor poko hollywood engga,,positif
Rafi Saftiawan,1,gimana cara daftar nya jir,gimana daftar nya jir,gimana daftar jir,,negatif
Al_ Morning,1,KENAPA GK BISA NONTON NETFLIX AJGGGG GUA UDH BAYAR !!!!!!,nonton netflix ajg gua bayar,nonton ajg bayar,,negatif
Julio Dacruz,1,"apk tolol, email gua udh bener tapi gak bisa masuk juga. (email gak bisa ditemukan) padahal udah bener gua masukinya",apk tolol email gua bener masuk email temu udah bener gua masuk,email bener masuk email temu bener masuk,,negatif
Andira Ara,5,aplikasi nya bagus bisa nonton semua film di bioskop tetapi bayar agak mahal,aplikasi nya bagus nonton film bioskop bayar mahal,bagus nonton film bioskop bayar mahal,,positif
Denys Surya,1,"payah, gambar nya kayak kualitas dvdrip. dah mana per bulan nya 65rb. berasa nonton bajakan.",payah gambar nya kayak kualitas dvdrip dah nya asa nonton baja,payah gambar kayak kualitas dvdrip dah asa nonton baja,,positif
Putri Praditia,1,aku udah berlangganan tapi ga bisa nonton. akun ku 1 malah bayar 2 lagii,udah langgan nonton akun bayar lagi,langgan nonton akun bayar,,negatif
