userName,score,content,final_review,cleaned_review,labeling 
Vincent Anton,5,Luar Biasa mantap!!! Tolong tambahkan game WWE 2025 Netflix Edition di Indonesia agar saya bisa men download dan memainkannya...,mantap tolong tambah game wwe netflix edition indonesia men download main,mantap tolong game wwe edition indonesia men download main,positif
familly,1,tolol g bisa daftar,tolol daftar,daftar,netral
Azzahra Gartini,5,selalu puas buat dipake maraton atau nungguin drama korea kesayangan,puas dipake maraton nungguin drama korea sayang,puas dipake maraton nungguin drama korea sayang,
Hasya Sri Hartati,1,menuhin meoriiiii?!?!,menuhin meori,menuhin meori,netral
afif muhni,1,setiap perpanjang manual macam2 masalahnya dialihkan ke opsi dompet digital lain masih sama juga applikasi apa ini,panjang manual alih opsi dompet digital applikasi,manual alih opsi dompet digital applikasi,
Riz 97,1,"kak sya sudah daftar dan sudah bayar juga tpi pas mau masuk email malah salah kata sandi, pdahal sudah bnar lalu di suruh bayar lagi, tolong di respon cepat",kak sya daftar bayar pas masuk email salah sandi pdahal bnar suruh bayar tolong respon cepat,kak sya daftar bayar pas masuk email salah sandi pdahal bnar suruh bayar tolong respon cepat,
Ismiati Timin,1,"kenapa ya tidak bisa masuk, kata sandi benar email benarr, masuk susah banget mana udah daftar lagiiii, disuruh salin link trus TPI GK bisa masukk",masuk sandi email benarr masuk susah banget udah daftar suruh salin link trus masukk,masuk sandi email benarr masuk susah banget daftar suruh salin link masukk,
quaneisha syauqiddifa,2,susah login,susah login,susah login,
Muhammad Hafyalbadali,1,ad lgbt jir,lgbt jir,lgbt jir,negatif
Dewi Mira,1,ribet,ribet,ribet,negatif
Yuki Mikasa,1,Stop kampanye LGBT,stop kampanye lgbt,stop kampanye lgbt,negatif
Poetera Fadjar,3,"Tolong dong kasih fitur pengaturan pilih audio dan subtitle default. kesel tiap kali nonton/lanjut episode berikutnya, audionya selalu pakai Inggris - dengan deskripsi. masa tiap ganti film atau lanjut episode berikutnya, harus ubah audionya dulu. padahal saya kan ingin selalu pakai audio aslinya dengan subtitle Indonesia.",tolong kasih fitur atur pilih audio subtitle default kesel kali nonton episode audio pakai inggris deskripsi ganti film episode ubah audio pakai audio asli subtitle indonesia,tolong kasih fitur atur pilih audio subtitle default kesel kali nonton episode audio pakai inggris deskripsi ganti film episode ubah audio pakai audio asli subtitle indonesia,
Ir Wandi,1,aplikasi buruk,aplikasi buruk,buruk,negatif
Izhar Ramadhani,1,maksa banget buat langganan.😡😡,maksa banget langgan,maksa banget langgan,
Ahmad Abdul wafi,1,aneh aplikasinya no telp udah bener sandi udah bener tapi gak bisa masuk emang dasar,aneh aplikasi telp udah bener sandi udah bener masuk emang dasar,aneh telp bener sandi bener masuk emang dasar,negatif
Jael Fery,1,apk sampah,apk sampah,sampah,negatif
ilhamuddin Qosim,5,good,good,good,positif
MANIAC GAMEZ,2,please fix hp saya infinix gt 10 pro awalnya lancar semua video bisa di putar... terus tiba2 beberapa bulan kedepan harus buka tutup netflix kadang bisa kadang gk... untuk video indo pasti terjadi bug ini... udah gw reset segala macam cara seperti ganti pasword dll tetep gk bisa dan terakhir muncul terlalu banyak device yg menggunakan padahal ganti pasword lo.. dan saya berlangganan yg bisa untuk beberapa orang 4 minimal... tapi yg berdapampak hanya di hp saya sangat aneh jika itu bug tolong,please fix infinix pro lancar video putar depan buka tutup netflix kadang kadang video indo bug udah reset ganti pasword dll tetep muncul device ganti pasword langgan orang minimal berdapampak aneh bug tolong,please fix infinix pro lancar video putar buka tutup kadang kadang video indo bug reset ganti pasword dll tetep muncul device ganti pasword langgan orang minimal berdapampak aneh bug tolong,
Bang Fajar,1,"gak bagus, sdh di bayar perbulan tapi tidak bisa login,,,. ambil aja uangnya sekalian sedekah",bagus sdh bayar bulan login ambil uang sedekah,bagus sdh bayar login ambil uang sedekah,
mobile legends,5,bagus vidio vidio nya?,bagus vidio vidio nya,bagus vidio vidio,positif
I Nyoman Ronal,5,top,top,top,positif
Iman Player,5,film bagus,film bagus,film bagus,positif
zafranrazaq Pratama,5,akhirnya bisa nonton anime dengan legal,nonton anime legal,nonton anime legal,
Winda Revita Purba,1,video macetttttttt,video macet,video macet,negatif
Hakuna Hatahutu,1,"tlong deh ya? q dah byr fiawal 54rb / bln, lah ini plah eror gak bsa byat jonton gmna ? penipuan kah ?",tlong deh dah byr fiawal bln plah eror bsa byat jonton gmna tipu kah,tlong dah byr fiawal bln plah eror bsa byat jonton gmna tipu kah,negatif
Meli Sartika,1,"mau login aja susah amat, sinting ni apk makin lama makin buat emosi",login susah sinting apk emosi,login susah sinting emosi,negatif
yucup dua,1,go woke go broke 👎,woke broke,woke broke,
nurindah sari,2,"duhh,, tidak bisa dibuka aplikasi nya?? walaupun udah di un&install lagi app nya...",duhh buka aplikasi nya udah install app nya,duhh buka install,
Cucun maryamah,2,opsi dongload di perangkat Windows gaada jir padahal alasan gua langganan di perangkat Windows agar nonton layar lebih besar,opsi dongload perangkat windows gaada jir alas gua langgan perangkat windows nonton layar,opsi dongload perangkat windows gaada jir alas langgan perangkat windows nonton layar,
Ghifarr,1,No LGBT,lgbt,lgbt,negatif
Nur Fathiyah,1,"susah bgt Netflix buat di stik tv gak bisa di buka, padahal udh langganan jadi eror terus klo buka Netflix di tv",susah banget netflix stik buka langgan eror buka netflix,susah banget stik buka langgan eror buka,
Tessa Novitasari,4,tampilan Netflix sekarang jelek bgt :'(,tampil netflix jelek banget,tampil jelek banget,negatif
Nay A,3,Kaka maaf mau info untuk kualitas Netflix ko sekarang ngga hd lagi ya ? 🙏,kaka maaf info kualitas netflix ngga,kaka maaf info kualitas,
Marini Ulfah,1,"kenapa harus ada pembatalan anggota tiba-tiba tanpa ada konfirmasi ke pelanggan. padahal ambil yang premium yg bisa 4-5 perangkat. di telp ke cust service keterangan nya ada aktivitas mencurigakan, sekarang logika nya ngapaiin ambil 5 perangkat kalau hanya 1 jaringan. sengaja ambil yg bisa 5 perangkat agar ketika kita lagi di luar tetap bisa masuk tanpa harus keluar account dari perangkat yg utama. syarat dan ketentuan nya pun terlalu banyak,ini aplikasi berbayar loh bukan gratis. mengecewakan!",batal anggota konfirmasi langgan ambil premium perangkat telp cust service terang nya aktivitas curiga logika nya ngapaiin ambil perangkat jaring sengaja ambil perangkat masuk account perangkat utama syarat tentu nya aplikasi bayar loh gratis kecewa,batal anggota konfirmasi langgan ambil premium perangkat telp cust service terang aktivitas curiga logika ngapaiin ambil perangkat jaring sengaja ambil perangkat masuk account perangkat utama syarat bayar loh gratis kecewa,
Hafidz Nugraha,4,tombol download kadang ilang kadang muncul,tombol download kadang ilang kadang muncul,tombol download kadang ilang kadang muncul,
Sri Mulyani,5,mantap,mantap,mantap,positif
Mirza Mirzaa,5,bagussss film nyaaa,bagus film nya,bagus film,positif
gita desimianto,1,kenapa tidak bisa daftar akun? selalu muncul perintah diperlukan pembaruan,daftar akun muncul perintah baru,daftar akun muncul perintah,
Moon Zheng,1,masa videonya gak bisa diputar loading mulu,video putar loading mulu,video putar loading mulu,
gallery bang ded,1,hari ini kenapa Netflix gak bisa login kenapa,netflix login,login,
Regata gaming,1,"resolusi di handphone saya gk bisa di ubah padahal HP saya termasuk yg yg bisa menggunakan resolusi HD, dan saja juga sudah langganan paket yg bisa nonton HD tapi gk bisa pke.. jadi selagi belum bisa si ubah saya bakal kasih ranting satu",resolusi handphone ubah resolusi langgan paket nonton pke selagi ubah kasih ranting,resolusi handphone ubah resolusi langgan paket nonton pke selagi ubah kasih ranting,
Mr. X,1,"aplikasi bangke , mau buat akun aja ribet banget ngentod , kapan mau nonton nya asik ngecek email ngecek email🗿",aplikasi bangke akun ribet banget ngentod nonton nya asik ngecek email ngecek email,bangke akun ribet banget ngentod nonton asik ngecek email ngecek email,negatif
Farid A. Rosidy,1,Nggak bisa dibuka!!!,buka,buka,
berkah usahabersama,5,bagus,bagus,bagus,positif
yeni yulansari,1,susah diakses,susah akses,susah akses,negatif
Citra Ayu Lestari,2,"skrng pendaftaran masuknya emg seribet ini ya?, memperhambat bgt, jdi ga mood nonton yg ada.",skrng daftar masuk emg seribet hambat banget jdi mood nonton,skrng daftar masuk emg seribet hambat banget jdi mood nonton,
jua akbar,5,sangat baik untuk menonton film,tonton film,tonton film,
Ellya Widayanto,1,"mau login atau buat akun aja error mulu, gimana mau berlangganan",login akun error mulu gimana langgan,login akun error mulu gimana langgan,negatif
Ujo,1,"NETFLIX INDONESIA 👎, GK lengkap sumpah udh langganan mahal""",netflix indonesia lengkap sumpah langgan mahal,indonesia lengkap sumpah langgan mahal,
Dedi Kenedi Channel,4,Ga jln aplikasinyav,jln aplikasinyav,jln aplikasinyav,netral
Ipong Terupong,1,cuman mau daftar aja ribet banget app sebelah nggak seribet ini,cuman daftar ribet banget app belah seribet,cuman daftar ribet banget belah seribet,negatif
tomy nur wibowo,1,jangan berlangganan di netfilx nanti langganan kalian tiba tiba di batalkan tanpa keterangan yang jelas dan tidak bisa di refund!!!!!,langgan netfilx langgan batal terang refund,langgan netfilx langgan batal terang refund,
Alina Kustanti Khairunnisa',1,filmnya gak ada yg mau diliat,film liat,film liat,netral
lieber 1202,1,ini pertama kali ikut boikot aplikasi karna film yg menghina kristen,kali boikot aplikasi karna film hina kristen,kali boikot karna film hina kristen,
Bunda Aqillah,5,ok,oke,oke,positif
Sitompul Yuri,1,"aplikasi bodoh memaksa upgrade, ga jelas",aplikasi bodoh paksa upgrade,paksa upgrade,
Irham Fadly,5,ok mantaf x la.......................,oke mantaf,oke mantaf,positif
Fakhri Rizqy,1,woy aplikasi pepek kau balekkan uang ku anj enak kali kau aku enggak langganan lagi kok bisa dana ku ko ambil anj,woy aplikasi pepek kau balekkan uang anj enak kali kau langgan dana ambil anj,woy pepek kau balekkan uang enak kali kau langgan dana ambil,negatif
gak penting cuk,3,bagaimana caranya untuk stop langganan netflix,stop langgan netflix,stop langgan,
MNKY D LUFFY,1,"pas coba masuk akun google kaga bisa kocak padahal sandi udah benar , rela rela ganti sandi demi masuk eh ternyata tetap nga bisa masuk , apk sampah",pas coba masuk akun google kaga kocak sandi udah rela rela ganti sandi masuk nga masuk apk sampah,pas coba masuk akun google kaga kocak sandi rela rela ganti sandi masuk nga masuk sampah,
Rafka Saput,1,pas pengen login kayak gk jelas gitu,pas ken login kayak gitu,pas ken login kayak gitu,
puspita sari17,5,seruuuu banyak filem filem horor suka banget sudah mau 1 tahun langganan terus,seru filem filem horor suka banget langgan,seru filem filem horor suka banget langgan,
Israfil Phil,5,Alhamdulillah ada aplikasi ini bisa nonton tanpa ke bioskop heheh,alhamdulillah aplikasi nonton bioskop heheh,alhamdulillah nonton bioskop heheh,positif
Aiza basmah Basmah,5,Mantep bngt,mantep banget,mantep banget,positif
Uzzu Kwon,1,"Sengaja nyelipin LGBT sama sex di setiap series baru, ga penting banget. Drakor-drakor jadi kotor banget isinya, netflix penghancur drakor...",sengaja nyelipin lgbt sex series banget drakor drakor kotor banget isi netflix hancur drakor,sengaja nyelipin lgbt sex series banget drakor drakor kotor banget isi hancur drakor,
hakim gaming,4,"tolong lebih diperbanyak lagi dubbing indo nya, di anime populer film populer ataupun series populer",tolong banyak dubbing indo nya anime populer film populer series populer,tolong dubbing indo anime populer film populer series populer,
jo maddie,5,keren Topp mantap is the best,keren topp mantap the best,keren topp mantap the best,positif
Afifah Ayu,1,"udah daftar kok tetep gabisa masuk, disuruh tempel link dibrowser atau apa itu, yg dimksd itu apa ya?ad yg tau kh?, kesel bgt dicoba berkali² ttp begitu",udah daftar tetep gabisa masuk suruh tempel link browser dimksd tau kesel banget coba kali ttp,daftar tetep gabisa masuk suruh tempel link browser dimksd tau kesel banget coba kali ttp,negatif
Dennis Tri,5,oke,oke,oke,positif
Konan Kalsa,5,good,good,good,positif
Abu Fatih,1,Cancel Netflix for the health of your kids,cancel netflix for the health your kids,cancel for the health your kids,
Dian Agung Simatupang,1,"Halo selamat malam admin, untuk anime ONE PIECE, episode 751-1088 kenapa tidak ada ya? Mohon ditanggapi, terima kasih🙏",halo selamat malam admin anime one piece episode mohon tanggap terima kasih,halo selamat malam admin anime one piece episode mohon tanggap terima kasih,
Nadya Dwi lestari,1,rating ga seberapa loginnya susah minta ampun mana mahal bayarnya kocakk pantesan sepi 🤣🤣,rating loginnya susah ampun mahal bayar kocakk pantesan sepi,rating loginnya susah ampun mahal bayar kocakk pantesan sepi,
Ali Tolip,1,Payah gak bisa dibuka percuma di donload,payah buka donload,payah buka donload,
Namira Ilyas,5,good,good,good,positif
Infinix Hijau,5,kualitas flimnya bagus sekali,kualitas flimnya bagus,kualitas flimnya bagus,positif
Zufarpolo Zura,5,Gpp bagus aja😊,gpp bagus,gpp bagus,positif
Jesriman si,1,sudah berhenti berlangganan masih aja saldo sya dikuras,henti langgan saldo sya kuras,henti langgan saldo sya kuras,negatif
DIKI 5529B,1,"Assalamu'alaikum. Kpd yg terhormat aplikasi netflix. Aplikasi satu satu nya yg sangat jelek. Begitu saya download, dan saya coba daftar pakek gmail, langsung di arah kan ke gmail, di suruh bayar 54.000.itu kita sebagai warga Indonesia yg kurang mampu. Ngapain di buat aplikasi sejelek ini. Saya sangat kecewa.",assalamu alaikum kpd hormat aplikasi netflix aplikasi nya jelek download coba daftar pakek gmail langsung arah gmail suruh bayar warga indonesia ngapain aplikasi jelek kecewa,assalamu alaikum kpd hormat jelek download coba daftar pakek gmail langsung arah gmail suruh bayar warga indonesia ngapain jelek kecewa,negatif
riyanti 27,1,loginnya susah bgt gilak padahal sandi email ama no hp ga salahhh lohhh knp ga valid Mulu,loginnya susah banget gilak sandi email ama salah loh knp valid mulu,loginnya susah banget gilak sandi email ama salah loh knp valid mulu,
Elly Ezra,5,netflix seru yang drama,netflix seru drama,seru drama,positif
Hera Yunata,5,Mantap,mantap,mantap,positif
Martin,1,"kok ga bisa streaming ya ? check jaringan oke, wifi lancar, video muter2, sudah selesai muter tidak muncul2 videonya?? makin ga jelas apk",streaming check jaring oke wifi lancar video muter selesai muter muncul video apk,streaming check jaring oke wifi lancar video muter selesai muter muncul video,
M. Rifki Ferdiansyah,5,"Tambahin fitur tonton nanti dong min, fitur daftar saya pantesnya cuman buat film yang favorite banget filmnya",tambahin fitur tonton min fitur daftar pantesnya cuman film favorite banget film,tambahin fitur tonton min fitur daftar pantesnya cuman film favorite banget film,
Habiburrahman Elshirazyyy,1,"aneh banget, tiba tiba saldo saya terpotong dan transaksi munujukan berlangganan dengan netflix, saya tidak pernah pakai netflix, tidak punya akun, kenapa saldo saya bisa terpotong tiba tiba, ANEH BANGET",aneh banget saldo potong transaksi munujukan langgan netflix pakai netflix akun saldo potong aneh banget,aneh banget saldo potong transaksi munujukan langgan pakai akun saldo potong aneh banget,
Alpian,1,jangan download aplikasi ngk jelas,download aplikasi ngk,download ngk,
Garou Toriyama,1,trash streaming,trash streaming,trash streaming,
Dina maulana,5,ok,oke,oke,positif
Zeefanya Bellia Qeeran Prayogo,5,bagus aja,bagus,bagus,positif
Alfaqir lukman bin Tatang,5,mudah dan update vidionya,mudah update vidionya,mudah update vidionya,positif
roihan 01,4,cukup menarik tapi kalau mau premium bukan 1 bayar aku maunya sekali bayar.,tarik premium bayar mau bayar,tarik premium bayar bayar,
Mochamad Rudiasnawan,5,ok,oke,oke,positif
Qfficialyari _STeh,1,"Disuruh bayar ., Daftar aja suruh bayar. Gw kira ada yang free watch.",suruh bayar daftar suruh bayar free watch,suruh bayar daftar suruh bayar free watch,
Willbrordus Wolo domaking,5,tolong tambahkan film detective Conan terbaru,tolong tambah film detective conan baru,tolong film detective conan,
Zila Zila,1,Aplikasinya jelek banget lebih bagus aplikasi sebelah(tahu kah aplikasi mana) aku lebih suka aplikasi sebelah dari pada aplikasi ini!👎,aplikasi jelek banget bagus aplikasi belah kah aplikasi suka aplikasi belah aplikasi,jelek banget bagus belah kah suka belah,negatif
Ikbal Nazrul,4,ini tempat nonton paling favorit pokoknya👍👍👍👍👍👍👍👍👍👍👍👍,nonton favorit pokok,nonton favorit pokok,
Albert Horman,5,aplikasi ini lumayan bagus walaupun masih ada film yg aku pengen nonton tapi GK ada di Netflix tapi sudah bagus film filmnya juga berkualitas,aplikasi lumayan bagus film ken nonton netflix bagus film film kualitas,lumayan bagus film ken nonton bagus film film kualitas,positif
Faisal ASEPZz,1,sumpah bener bener nggaa wor it daftar nya suruh bayar,sumpah bener bener nggaa wor daftar nya suruh bayar,sumpah bener bener nggaa wor daftar suruh bayar,negatif
Klarisa anesti Indah S,1,kecewa banget udah daftar udah bayar malah ga bisa log in alasan gangguan terus,kecewa banget udah daftar udah bayar log alas ganggu,kecewa banget daftar bayar log alas ganggu,negatif
Jamal Uddin,5,netflix sangat menyenangkan,netflix senang,senang,positif
Sari Winata,1,"udah berlangganan 1080p, kualitasnya masih jelek aja eek",udah langgan kualitas jelek eek,langgan kualitas jelek eek,
GM ADDICTED BOOK,1,susah,susah,susah,
Warung Hp,1,"dulu ga da bayar apa pun kecuali VIP, ini di harus kan walau bukan member VIP , g guna .. duit duit Mulu kalian heran gw..",bayar kecuali vip member vip duit duit mulu heran,bayar kecuali vip member vip duit duit mulu heran,
Tang chanel,1,"saya juga download masuknya sulit sekali hrs email,email dah g bisa kepake padahal mau nonton aja ribet... uninstall deh",download masuk sulit hrs email email dah kepake nonton ribet uninstall deh,download masuk sulit hrs email email dah kepake nonton ribet uninstall,
Frenly,1,BURUKKK,buruk,buruk,
Andi Husaini,5,very god,very god,very god,positif
Indri Mahawira,1,jelek,jelek,jelek,
Anissa kiren,1,setiap mau nonton ko loading terus ya aneh,nonton loading aneh,nonton loading aneh,
Aprili April,5,makasih Netflix sangat mempermudah untuk nonton drakor,makasih netflix mudah nonton drakor,terima kasih mudah nonton drakor,positif
Ilham Ramadhan,1,pembayaran jangan Oto debit Shopee dong!! menyusahkan.ubah pembayaran Via Shopee jadi manual!!!!,bayar oto debit shopee susah ubah bayar via shopee manual,bayar oto debit shopee susah ubah bayar via shopee manual,
A Haigal Wiriawan,1,gabisa nonton saya,gabisa nonton,gabisa nonton,
Indra Saputra,1,"ini maksudnya apa? kenapa pembayaran nya langsung ambil uang saya di dana? tanpa ada minta verifikasi atau konfirmasi? saya jga punya kebutuhan lain, saya belum bayar kalau blum terpenuhi kebutuhan lain, aplikasi kurang ajar memang kau",maksud bayar nya langsung ambil uang dana verifikasi konfirmasi jga butuh bayar blum penuh butuh aplikasi ajar kau,maksud bayar langsung ambil uang dana verifikasi konfirmasi jga butuh bayar blum penuh butuh ajar kau,
Amalia Zean,3,"udah bayar, tp klo nonton dihp jadi ky ancur gt, mana ngeglitch lagi.",udah bayar nonton dihp ancur ngeglitch,bayar nonton dihp ancur ngeglitch,
Rereee,2,apaan ni gabisa login pdhal Gmail sama sandi dah bener,gabisa login pdhal gmail sandi dah bener,gabisa login pdhal gmail sandi dah bener,
Nova Hero,1,tidak bisa login,login,login,netral
Taufik kurniawan,1,"login bayar ga masuk2,parah sitemnya",login bayar masuk parah sitemnya,login bayar masuk parah sitemnya,
Prov Jogja,3,pliss Netflix tambah kan banyak lagi film dan jangan sampai menjadi film bajakan gratis di google,pliss netflix film film baja gratis google,pliss film film baja gratis google,
Qamarul S,1,this is your own Fault realize what mistake you are,this your own fault realize what mistake you are,this your own fault realize what mistake you are,
zae 69,4,tolonglah jangan pembayaran jangan otomatis,tolong bayar otomatis,tolong bayar otomatis,
Lia Veronika,2,Netflix kenapa di smart TV gak bisa kebuka?,netflix smart buka,smart buka,
kanaya salsa,1,aplikasi gajelas orang mau nonton aja dipersulit login nya gw saranin kalo mau pake apk ini jangan mau yah lebih baik cari apk yang lain aja,aplikasi gajelas orang nonton sulit login nya saranin kalo pake apk yah cari apk,gajelas orang nonton sulit login saranin kalo pake yah cari,
Grivano Gilang Restandy,5,bagus,bagus,bagus,positif
dara Putri,1,kodenya Netflix tidak dikasih jadi nggak bisa masuk gimana coba ini aplikasi masa nggak kasih kodenya 👎👎👎👎👎,kode netflix kasih masuk gimana coba aplikasi kasih kode,kode kasih masuk gimana coba kasih kode,
Permanaa Rezi,1,"Sudah berhenti berlangganan tapi tetep saja uang di rekening ke ambil,, gajelas orang udah berhenti tapi masih tetep ngambil aja udah kaya nyolong",henti langgan tetep uang rekening ambil gajelas orang udah henti tetep ngambil udah kaya nyolong,henti langgan tetep uang rekening ambil gajelas orang henti tetep ngambil kaya nyolong,
Julia Lia,1,"SUSAH SEKALI UNTUK DAFTAR DI APLIKASI INI, AKU HARUS MEMBAYAR APLIKASI ITU!!!! PADAHAL NAMA EMAIL KU SUDAH BENAR TAPI TETAP SAJA TIDAK BISA!!!",susah daftar aplikasi bayar aplikasi nama email,susah daftar bayar nama email,
Ferdy Yohanes,5,Ok,oke,oke,positif
Imam Safiq,1,"login gagal terus, padahal itu akun utama saya. mana skrg gak bisa masuk gara² keseringan login. sia² isi paket netflix. buang² uang aja!",login gagal akun utama skrg masuk gara sering login sia isi paket netflix buang uang,login gagal akun utama skrg masuk gara login sia isi paket buang uang,
Yoga Hadi,5,jangan donlod kita termasuk nya du peraas!,donlod nya peraas,donlod peraas,
Abi,1,gambarnya brebek gak jelas percuma langganan padahal udah support wifi tetep aja gambarnya brebekkk kaya kaset kusut gak recommen banget.,gambar brebek langgan udah support wifi tetep gambar brebek kaya kaset kusut recommen banget,gambar brebek langgan support wifi tetep gambar brebek kaya kaset kusut recommen banget,
Cupang Cupang,4,"very good.. can watch movies with family, it's just that there are too few movies, sometimes the movies we are looking for are mostly not available. we ask that more be provided so that we can enjoy all the movies we want to see. thank you.",very good can watch movies with family just that there are too few movies sometimes the movies are looking for are mostly not available ask that more provided that can enjoy all the movies want see thank you,very good can watch movies with family just that there are too few movies sometimes the movies are looking for are mostly not available ask that more provided that can enjoy all the movies want see thank you,
Leonardo Chen,1,Netflix buat semua orang jadi terpengaruh Krn aplikasi Netflix TDK mungkin membuat bahagia kebanyakan Indonesia rata rata semua saya gak tertarik mohon tolong di hapus aplikasi ini biar orang gak nonton lagi 😠😠😠😠😠😠😠😠😠😠😠😠😠,netflix orang pengaruh krn aplikasi netflix tdk bahagia banyak indonesia tarik mohon tolong hapus aplikasi biar orang nonton,orang pengaruh bahagia indonesia tarik mohon tolong hapus biar orang nonton,
Ahmad Nurhaq,1,daftar akun sangat rumit aplikasi tidak bagus,daftar akun rumit aplikasi bagus,daftar akun rumit bagus,
Indivara Indivara,1,g bisa login on ol,login,login,
rozaq luqman,5,oke,oke,oke,positif
Armi Kartika,1,apa2n sih netflix.. udh isi langganan malah kluar sndiri ga jelas g bisa masuk,apan sih netflix isi langgan kluar sndiri masuk,apan sih isi langgan kluar sndiri masuk,
Firaa Dzafiraa,5,oke,oke,oke,positif
Gideon Dolly Lembang,1,huuuuuu banyak agenda LGBT nya 🤢 🤮,agenda lgbt nya,agenda lgbt,
Oni Pertma,2,parah padahal aku sudah berhenti berlangganan tiba tiba dana ke sedot secara otomatis..padahal apk sudah di hapus. jadi terpaksa download lagi gara gara saldo ke potong otomatis heemm,parah henti langgan dana sedot otomatis apk hapus paksa download gara gara saldo potong otomatis heemm,parah henti langgan dana sedot otomatis hapus paksa download gara gara saldo potong otomatis heemm,
Via. JM,2,padahal udh gak langganan tapi ttp aja saldo kita di potong seenaknya kesel banget,langgan ttp saldo potong kesel banget,langgan ttp saldo potong kesel banget,
sonia ayu,1,eror,eror,eror,negatif
Ira Lativah,1,ribet,ribet,ribet,negatif
Ipan Pos,5,Oke,oke,oke,positif
Wahyu Aimita,1,tidak bisa memutar filmnya.muncul kesalahan e100 terus.di tab atau hp juga aplikasinya tidak bisa di update.parah sudah bayar langganan dengan langkah2 yg ribet hasilnya ga bisa diputar filmnya semua.nyesel langganan,putar film muncul salah tab aplikasi update parah bayar langgan langkah ribet hasil putar film nyesel langgan,putar film muncul salah tab update parah bayar langgan langkah ribet hasil putar film nyesel langgan,
Gunowidjojo,1,nyesel daftar + bayar.. film nya ga lengkap.. aplikasi nipu,nyesel daftar bayar film nya lengkap aplikasi nipu,nyesel daftar bayar film lengkap nipu,negatif
Lilya Jsf,1,Kesel banget sama Netflix film bagus eh di cut off gk dilanjut seasonnya.... banyak bgt malah. klian tuh liat rating dr orng yg nonton donk.. klo rating bagus ya lanjutin jangan berdasarkan quantity... kadang ada season 2 yg pertama gk ada. yg ada aq cari di applikasi lain yg pertama dan mending lanjut nonton disana.....,kesel banget netflix film bagus cut off lanjut seasonnya banget klian tuh liat rating orng nonton donk rating bagus lanjutin dasar quantity kadang season cari applikasi mending nonton sana,kesel banget film bagus cut off seasonnya banget klian tuh liat rating orng nonton donk rating bagus lanjutin dasar quantity kadang season cari applikasi mending nonton,negatif
alat kantor kursi murah,3,di coba semoga lancar,coba moga lancar,coba moga lancar,netral
Eko Prasatriyo,1,saya ingin berhenti langganan gimana yah ka caranya soalnya saya enggak pernah merasa berlangganan tapi tiba² saja ada notice di dana saya potongan untuk topup Netflix.. tolong dong ka kasih tau caranya saya mau berhenti berlangganan,henti langgan gimana yah langgan notice dana potong topup netflix tolong kasih tau henti langgan,henti langgan gimana yah langgan notice dana potong topup tolong kasih tau henti langgan,
faizalelvan,1,kaga jelas anj kaga bisa login nih Netflix perbaiki dong developer,kaga anj kaga login netflix baik developer,kaga kaga login developer,
SUGENG PRAPTIONO,5,Opsional,opsional,opsional,
Hiroki Matsumoto,1,dubbing Indonesia harus semua acara harus masa dubbing ada 2 suara asli sama suara dubbing,dubbing indonesia acara dubbing suara asli suara dubbing,dubbing indonesia acara dubbing suara asli suara dubbing,
Papa Americano Channel,1,aplikasi lol gak berlangganan malah potong saldo dana,aplikasi lol langgan potong saldo dana,langgan potong saldo dana,
Cak SlentheM Tube,5,ssiiiippp,ssip,ssip,positif
ARYANDI APRIAN,5,the best,the best,the best,positif
hendy satya,1,aneh suruh donload2 trus padahal gk gratisan,aneh suruh donload trus gratis,aneh suruh donload gratis,
muslihin lihin,1,ga bisa login!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,login,login,
Muhamad Alfin Alfiansyah,1,cancel Netflix for health your kids,cancel netflix for health your kids,cancel for health your kids,
sukun 12,1,canceled netflix,canceled netflix,canceled,
ZEO MASTER,3,Subtitlenya aneh seperti langsung di translate dari google tidak menggunakan bahasa yang baku aneh padahal aplikasi berbayar tapi subtitlenya sembarang jauh lebih bagus subtitle pada film bajakan tolong perbaiki subtitle kalian netflix saya tidak nyaman menonton jika subtitlenya tidak jelas,subtitlenya aneh langsung translate google bahasa baku aneh aplikasi bayar subtitlenya sembarang bagus subtitle film baja tolong baik subtitle netflix nyaman tonton subtitlenya,subtitlenya aneh langsung translate google bahasa baku aneh bayar subtitlenya sembarang bagus subtitle film baja tolong subtitle nyaman tonton subtitlenya,
Tuti Fauzie,4,ok👍,oke,oke,positif
Dwi Putri,1,"biasanya bagus smakin kesini tmbh gak jelas,gak bsa nonton d hp hrs bkin akun lg,biasa jg nonton d hp ribet bngt,,ak kn gk tiap hari d rumah jd sering nonton d hp ni mlh gk bsa,ak kn jg bayar. ak mau ngbisin bln ini aja gk mau lngganan lg,dana jg ak kosongin,,klo d isi psti lngsung d potong. bakal tk uniinstal.",bagus smakin kesini tmbh bsa nonton hrs bkin akun nonton ribet banget rumah nonton mlh bsa bayar ngbisin bln lngganan dana kosongin isi psti lngsung potong uniinstal,bagus smakin kesini tmbh bsa nonton hrs bkin akun nonton ribet banget rumah nonton mlh bsa bayar ngbisin bln lngganan dana kosongin isi psti lngsung potong uniinstal,
Akbar ganteng,1,gabisa masuk ke aplikasi!!!!! mohon diperbaiki..,gabisa masuk aplikasi mohon baik,gabisa masuk mohon,
