userName,score,content,final_review
Indra Saputra,1,"ini maksudnya apa? kenapa pembayaran nya langsung ambil uang saya di dana? tanpa ada minta verifikasi atau konfirmasi? saya jga punya kebutuhan lain, saya belum bayar kalau blum terpenuhi kebutuhan lain, aplikasi kurang ajar memang kau",maksud bayar nya langsung ambil uang dana verifikasi konfirmasi jga butuh bayar blum penuh butuh aplikasi ajar kau
Amalia Zean,3,"udah bayar, tp klo nonton dihp jadi ky ancur gt, mana ngeglitch lagi.",udah bayar nonton dihp ancur ngeglitch
Rereee,2,apaan ni gabisa login pdhal Gmail sama sandi dah bener,gabisa login pdhal gmail sandi dah bener
Nova Hero,1,tidak bisa login,login
Taufik kurniawan,1,"login bayar ga masuk2,parah sitemnya",login bayar masuk parah sitemnya
Prov Jogja,3,pliss Netflix tambah kan banyak lagi film dan jangan sampai menjadi film bajakan gratis di google,pliss netflix film film baja gratis google
Qamarul S,1,this is your own Fault realize what mistake you are,this your own fault realize what mistake you are
Mohlani,4,"CV ke""x AA",
zae 69,4,tolonglah jangan pembayaran jangan otomatis,tolong bayar otomatis
Lia Veronika,2,Netflix kenapa di smart TV gak bisa kebuka?,netflix smart buka
kanaya salsa,1,aplikasi gajelas orang mau nonton aja dipersulit login nya gw saranin kalo mau pake apk ini jangan mau yah lebih baik cari apk yang lain aja,aplikasi gajelas orang nonton sulit login nya saranin kalo pake apk yah cari apk
Grivano Gilang Restandy,5,bagus,bagus
dara Putri,1,kodenya Netflix tidak dikasih jadi nggak bisa masuk gimana coba ini aplikasi masa nggak kasih kodenya 👎👎👎👎👎,kode netflix kasih masuk gimana coba aplikasi kasih kode
Permanaa Rezi,1,"Sudah berhenti berlangganan tapi tetep saja uang di rekening ke ambil,, gajelas orang udah berhenti tapi masih tetep ngambil aja udah kaya nyolong",henti langgan tetep uang rekening ambil gajelas orang udah henti tetep ngambil udah kaya nyolong
Julia Lia,1,"SUSAH SEKALI UNTUK DAFTAR DI APLIKASI INI, AKU HARUS MEMBAYAR APLIKASI ITU!!!! PADAHAL NAMA EMAIL KU SUDAH BENAR TAPI TETAP SAJA TIDAK BISA!!!",susah daftar aplikasi bayar aplikasi nama email
Ferdy Yohanes,5,Ok,oke
Imam Safiq,1,"login gagal terus, padahal itu akun utama saya. mana skrg gak bisa masuk gara² keseringan login. sia² isi paket netflix. buang² uang aja!",login gagal akun utama skrg masuk gara sering login sia isi paket netflix buang uang
Yoga Hadi,5,jangan donlod kita termasuk nya du peraas!,donlod nya peraas
Abi,1,gambarnya brebek gak jelas percuma langganan padahal udah support wifi tetep aja gambarnya brebekkk kaya kaset kusut gak recommen banget.,gambar brebek langgan udah support wifi tetep gambar brebek kaya kaset kusut recommen banget
Cupang Cupang,4,"very good.. can watch movies with family, it's just that there are too few movies, sometimes the movies we are looking for are mostly not available. we ask that more be provided so that we can enjoy all the movies we want to see. thank you.",very good can watch movies with family just that there are too few movies sometimes the movies are looking for are mostly not available ask that more provided that can enjoy all the movies want see thank you
Leonardo Chen,1,Netflix buat semua orang jadi terpengaruh Krn aplikasi Netflix TDK mungkin membuat bahagia kebanyakan Indonesia rata rata semua saya gak tertarik mohon tolong di hapus aplikasi ini biar orang gak nonton lagi 😠😠😠😠😠😠😠😠😠😠😠😠😠,netflix orang pengaruh krn aplikasi netflix tdk bahagia banyak indonesia tarik mohon tolong hapus aplikasi biar orang nonton
Ahmad Nurhaq,1,daftar akun sangat rumit aplikasi tidak bagus,daftar akun rumit aplikasi bagus
Indivara Indivara,1,g bisa login on ol,login
rozaq luqman,5,oke,oke
Armi Kartika,1,apa2n sih netflix.. udh isi langganan malah kluar sndiri ga jelas g bisa masuk,apan sih netflix isi langgan kluar sndiri masuk
Firaa Dzafiraa,5,oke,oke
Gideon Dolly Lembang,1,huuuuuu banyak agenda LGBT nya 🤢 🤮,agenda lgbt nya
Oni Pertma,2,parah padahal aku sudah berhenti berlangganan tiba tiba dana ke sedot secara otomatis..padahal apk sudah di hapus. jadi terpaksa download lagi gara gara saldo ke potong otomatis heemm,parah henti langgan dana sedot otomatis apk hapus paksa download gara gara saldo potong otomatis heemm
Via. JM,2,padahal udh gak langganan tapi ttp aja saldo kita di potong seenaknya kesel banget,langgan ttp saldo potong kesel banget
sonia ayu,1,eror,eror
Ira Lativah,1,ribet,ribet
Ipan Pos,5,Oke,oke
Wahyu Aimita,1,tidak bisa memutar filmnya.muncul kesalahan e100 terus.di tab atau hp juga aplikasinya tidak bisa di update.parah sudah bayar langganan dengan langkah2 yg ribet hasilnya ga bisa diputar filmnya semua.nyesel langganan,putar film muncul salah tab aplikasi update parah bayar langgan langkah ribet hasil putar film nyesel langgan
Gunowidjojo,1,nyesel daftar + bayar.. film nya ga lengkap.. aplikasi nipu,nyesel daftar bayar film nya lengkap aplikasi nipu
Lilya Jsf,1,Kesel banget sama Netflix film bagus eh di cut off gk dilanjut seasonnya.... banyak bgt malah. klian tuh liat rating dr orng yg nonton donk.. klo rating bagus ya lanjutin jangan berdasarkan quantity... kadang ada season 2 yg pertama gk ada. yg ada aq cari di applikasi lain yg pertama dan mending lanjut nonton disana.....,kesel banget netflix film bagus cut off lanjut seasonnya banget klian tuh liat rating orng nonton donk rating bagus lanjutin dasar quantity kadang season cari applikasi mending nonton sana
alat kantor kursi murah,3,di coba semoga lancar,coba moga lancar
Eko Prasatriyo,1,saya ingin berhenti langganan gimana yah ka caranya soalnya saya enggak pernah merasa berlangganan tapi tiba² saja ada notice di dana saya potongan untuk topup Netflix.. tolong dong ka kasih tau caranya saya mau berhenti berlangganan,henti langgan gimana yah langgan notice dana potong topup netflix tolong kasih tau henti langgan
faizalelvan,1,kaga jelas anj kaga bisa login nih Netflix perbaiki dong developer,kaga anj kaga login netflix baik developer
SUGENG PRAPTIONO,5,Opsional,opsional
Hiroki Matsumoto,1,dubbing Indonesia harus semua acara harus masa dubbing ada 2 suara asli sama suara dubbing,dubbing indonesia acara dubbing suara asli suara dubbing
Papa Americano Channel,1,aplikasi lol gak berlangganan malah potong saldo dana,aplikasi lol langgan potong saldo dana
Cak SlentheM Tube,5,ssiiiippp,ssip
Karmila,1,aplikasi taiii,aplikasi tai
ARYANDI APRIAN,5,the best,the best
hendy satya,1,aneh suruh donload2 trus padahal gk gratisan,aneh suruh donload trus gratis
muslihin lihin,1,ga bisa login!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,login
Muhamad Alfin Alfiansyah,1,cancel Netflix for health your kids,cancel netflix for health your kids
sukun 12,1,canceled netflix,canceled netflix
ZEO MASTER,3,Subtitlenya aneh seperti langsung di translate dari google tidak menggunakan bahasa yang baku aneh padahal aplikasi berbayar tapi subtitlenya sembarang jauh lebih bagus subtitle pada film bajakan tolong perbaiki subtitle kalian netflix saya tidak nyaman menonton jika subtitlenya tidak jelas,subtitlenya aneh langsung translate google bahasa baku aneh aplikasi bayar subtitlenya sembarang bagus subtitle film baja tolong baik subtitle netflix nyaman tonton subtitlenya
Tuti Fauzie,4,ok👍,oke
Dwi Putri,1,"biasanya bagus smakin kesini tmbh gak jelas,gak bsa nonton d hp hrs bkin akun lg,biasa jg nonton d hp ribet bngt,,ak kn gk tiap hari d rumah jd sering nonton d hp ni mlh gk bsa,ak kn jg bayar. ak mau ngbisin bln ini aja gk mau lngganan lg,dana jg ak kosongin,,klo d isi psti lngsung d potong. bakal tk uniinstal.",bagus smakin kesini tmbh bsa nonton hrs bkin akun nonton ribet banget rumah nonton mlh bsa bayar ngbisin bln lngganan dana kosongin isi psti lngsung potong uniinstal
Akbar ganteng,1,gabisa masuk ke aplikasi!!!!! mohon diperbaiki..,gabisa masuk aplikasi mohon baik
To the Moon,1,Hati2x netflix bnyak film isi ttg non binary...gender fluid...aplagi ada di film anak2x...ngajarin ttg gender...,hatix netflix bnyak film isi ttg non binary gender fluid aplagi film anakx ngajarin ttg gender
Lly Sftry,1,saldo gue kepotong trs cara berhenti nya gimana anj😭,saldo gue potong henti nya gimana anj
gdra 12,5,danger for your kids LGBT support for sattan...,danger for your kids lgbt support for sattan
eko septian,5,"Sekedar Saran untuk Netflix agar lebih memperbanyak update film terbaru dari bioskop, agar jadi pilihan terbaik bagi para penikmat Netflix",dar saran netflix banyak update film baru bioskop pilih baik nikmat netflix
Wifionly Crb,1,Apakah langganan di Netflix bisa di batalkan dan saldo kembali?,langgan netflix batal saldo
Vikaso Estilo,5,Belum bisa kebuka aplikasinya..,buka aplikasi
mariyatul ikrimah,5,seru,seru
Deni Fauzi,3,yang mau berlangganan mending jangan karena film yang ada jadul semua,langgan mending film jadul
nur azizah Perwitasari,1,kenapa harus berbayar sih. kasih keringanan dong biar yang Ndak punya duit bisa nonton buat hiburan gitu lah.. 😭 dan pas lihat ulasan dibawah ada yang sampai kepotong 2 kali jadi nyesel saya download tadi. sudah aku hapus lagi jadinya. Ndak jadi nonton film di Netflix,bayar sih kasih ringan biar ndak duit nonton hibur gitu pas lihat ulas bawah potong kali nyesel download hapus ndak nonton film netflix
bakso Bulat,5,ok,oke
Erari Silalahi766,1,jelek,jelek
Halvac Martha,1,aduh saya tidak bisa login lagi kakak,aduh login kakak
admelvandi busana.02,1,Tidak ada pilihan metode pembayaran.,pilih metode bayar
-Dyy77,1,aplikasi pea,aplikasi pea
Anjas Yanuar,1,si anjing babi,anjing babi
Arvi N,1,bayar apaan dah?😹,bayar dah
Welly rakhmawan,5,the best ahhhh,the best
Pemuda Hijrah,1,"padahal seingat saya ngak pernah pencet beli premium malah tiba"" beli premium langsung ilang duit saya di dana 65k ngak ada prosedurnya gimana"" langsung beli yahh bingung dong saya knp tiba"" kebeli.",ngak pencet beli premium beli premium langsung ilang duit dana ngak prosedur gimana langsung beli yahh bingung knp kebel
Gregorius Aldo,1,"Kalo memang cara masuk nya itu pakai vocer ya tinggal bilang aja, aku berjuang 4 jam untuk masuk akun ehhh ternyata pakai duit juga, Sekali mau bayar ehh gak mampu karena uang dana gak ada, tapi kan kalo memang gak bisa ya gak perlu lanjukan tu pendaptaran kan sekali aku isi dana untuk isi listrik ehhh malah abis diambil tu dana ku dasar apk gak ngotak. Udah gak jelas makin gak ada otak .lain kali kalo buat apk tu yang benar.",kalo masuk nya pakai vocer tinggal bilang juang jam masuk akun pakai duit bayar ehh uang dana kalo lanjuk pendaptaran isi dana isi listrik abis ambil dana dasar apk ngotak udah otak kali kalo apk
Sagaf Said,4,bintang 4 dulu,bintang
dadi yuniaariantidya,1,ngga bisa login,ngga login
Zaenudin Syah putra,5,APK NONTON FILM FAVORIT❤❤,apk nonton film favorit
Aulia Lubis,1,"Netflix sekarang lok jadi hancur2an ya, jelek aplikasinya, TDK seperti dulu wktu baru2 buka, payah bgt skg, filmnya lumayan jadul TPI masih ok lah , tapi yg skg buka di awalnya gak bisa2, Uda di hapus trus download lagi masih gak bisa kebuka ....parah dah !!",netflix lok hancur jelek aplikasi tdk wktu buka payah banget skg film lumayan jadul oke skg buka uda hapus trus download buka parah dah
RUDI GUNAWAN aozora,1,bad,bad
Elios Sansan,1,kenapa si kok netflix gak mau mutet d hp loading mulu.giliran d tv bisa tv d hp ngga bisa padahal udah berlangganan lohh,netflix mutet loading mulu gilir ngga udah langgan lohh
Abhelian SaputrA,1,"film nya gak update, update pun lama",film nya update update
Dafi Duck,2,"engga komplit ,pengen cari film lama ,kaya the lord off the ring ,the Hobbit ,Thor ya pokonya banyak Hollywood yg engga ada",engga komplit ken cari film kaya the lord off the ring the hobbit thor poko hollywood engga
Rafi Saftiawan,1,gimana cara daftar nya jir,gimana daftar nya jir
Al_ Morning,1,KENAPA GK BISA NONTON NETFLIX AJGGGG GUA UDH BAYAR !!!!!!,nonton netflix ajg gua bayar
Julio Dacruz,1,"apk tolol, email gua udh bener tapi gak bisa masuk juga. (email gak bisa ditemukan) padahal udah bener gua masukinya",apk tolol email gua bener masuk email temu udah bener gua masuk
Andira Ara,5,aplikasi nya bagus bisa nonton semua film di bioskop tetapi bayar agak mahal,aplikasi nya bagus nonton film bioskop bayar mahal
Heri,5,Sebelumnya terimakasih?,terimakasih
Denys Surya,1,"payah, gambar nya kayak kualitas dvdrip. dah mana per bulan nya 65rb. berasa nonton bajakan.",payah gambar nya kayak kualitas dvdrip dah nya asa nonton baja
indra bzoy,5,boboiboy the. movie,boboiboy the movie
Putri Praditia,1,aku udah berlangganan tapi ga bisa nonton. akun ku 1 malah bayar 2 lagii,udah langgan nonton akun bayar lagi
Endah Novitasari,5,"mending 1 bulan 200rb, dari pada 1 hari 200rb😭😭😭😭😭",mending
Hana Ritony,1,Maaf yah netflix saya gx bisa donlod kenapa harus bayar saya tidak punya duit,maaf yah netflix donlod bayar duit
Halid,1,"belum juga sebulan berlangganan malah gk bisa masuk,nonton gk bisa, disuruh up yg 120rb padahal cukup yg 720p malah di suruh 1080p gk jelas",bulan langgan masuk nonton suruh suruh
Fatta,1,"ini adalah aplikasi terbusuk yg saya pernah unduh mau masuk ke beranda aja banyak langkah langkah nya buang buang waktu,emang aplikasi busuk ini",aplikasi busuk unduh masuk beranda langkah langkah nya buang buang emang aplikasi busuk
Kakak Yaya,2,tidak bisa putar film di Tab saya,putar film tab
Nur islamiah Aprilia,5,yes ok banget,yes oke banget
Edi Sriyanto,1,"Aplikasi babi, tiap nonton selalu keluar sendiri, pake app hp, app laptop, pake web juga masih aja selalu keluar sendiri. Rugi2 udah langganan setahun lebih tapi layanannya busuk",aplikasi babi nonton pake app app laptop pake web rugi udah langgan tahun layan busuk
Xxx Xxx,1,"udah daftar pake PC komputer pas login di hp suruh daftar lagi,gak jelas banget",udah daftar pake komputer pas login suruh daftar banget
Meini Tatuwo,1,gak bisa login pdhal udah langganan. kenapa sih ni aplikasiiiiii,login pdhal udah langgan sih aplikasi
Billy Kent,1,kualitas nya sampah,kualitas nya sampah
Farhan Clwr,1,ini gimana min nggak bisa masuk/login eror atau gimana,gimana min masuk login eror gimana
leo resya,5,good,good
Ketut Martini,1,kenapa gak bisa di uninstal?????,uninstal
donny ristiandi,2,"aplikasi lumayan, tapi kalau mau lanjut di aplikasi android tidak bisa pilih paket lain harus lanjutin paket sebelumnua",aplikasi lumayan aplikasi android pilih paket lanjutin paket sebelumnua
syasya zaeti humaira,1,jelek bgt padahal udh bayar tapi pas mau nonton loading terus kouta saya juga msih ada tpi ttp gabisa,jelek banget bayar pas nonton loading kouta msih ttp gabisa
Uthu Nemo,1,"ini knpa Netflix stuck itu2 aj filmnya??? apa2 d cari tak ada,,,, yg betul lah woy",knpa netflix stuck film cari woy
Yoga Dwi,5,lebih murah donk,murah donk
Melyta Dwi lestari,1,jelek bgt,jelek banget
Nor mega Lestari,3,"kenapa ya ko gak bisa di setel muter terus, padahal saya sudah bayar tiap bulan langganan di netflix.",setel muter bayar langgan netflix
purin ririn,1,sudah dibeli paket netflix g bs login,beli paket netflix login
Allbi Kaja,3,masa isi dalam apk netfli cuman ada lingk buat masuk ke croom trus pas di crom cuman bisa scrol kalo ke pencet balik ke apk yang ngasih ling gitu² mulu sampe gk ada sedetik buat nonton rugi gw udah berlangganan gw pengen uang gw di balikin aja dasar apk gk guna,isi apk netfli cuman lingk masuk croom trus pas crom cuman scrol kalo pencet apk ngasih ling gitu mulu sampe detik nonton rugi udah langgan ken uang balikin dasar apk
muhammad harist gusnaini,1,gak jelas,
Wendi Putra,1,kek mn sih ini mau batal kan langganan ajah mesti masuk di aplikasi nya harus bayar lagi sedang kan netflix nya udah langsung kepotong di saldo dana gmn sih gk jelas aplikasi nya merugikan orng,kek sih batal langgan ajah mesti masuk aplikasi nya bayar netflix nya udah langsung potong saldo dana gmn sih aplikasi nya rugi orng
Afrah Fathi Fauzani,5,"Nonton Hiburan Drama Film Horror, Video juga HD 100% persen No HOAX 👍👍👍",nonton hibur drama film horror video persen hoax
azis sirojudin,1,kemahalan,mahal
Fajeri Anoor,5,Good,good
Sri indratama Wahyu jatmiko,5,ok,oke
Hans Hans,1,"aplikasinya kurang, ketika daftar melalui Gmail trs masukin sandi yang benar di bilang salah, perbaiki yang bagus 😒",aplikasi daftar gmail masukin sandi bilang salah baik bagus
Feri Ferdianto,5,bagus bagus untuk gta-nya,bagus bagus gta nya
sindi lestari,2,"plis plis plis, susaa bgt bwt dftr ny",plis plis plis susaa banget bwt dftr nya
Veronica officials,1,"“아이치이에 있는 거 넷플릭스에도 넣어줘.” “Tolong adain yang ada di iQIYI masukinke Netflix ya, bahasa Korea, karena iQIYI rese.”",tolong adain iqiyi masukinke netflix bahasa korea iqiyi rese
Febby Diana,1,pendaftaran yg ribet!!!,daftar ribet
Purwo Aji Darsono,1,"sampah,mau login aja muter muter doang,gabisa masuk,disuruh masukin kode,pas dimadukin kodenya,di ulang ulang terus, sampah",sampah login muter muter doang gabisa masuk suruh masukin kode pas dimadukin kode ulang ulang sampah
Pengguna Google,2,2 aja lah capek nonton,capek nonton
quisty oktavia,1,makin kesini neflix sering lag. suaranya ada tapi gambar video nya nge freeze gak gerak.,kesini neflix lag suara gambar video nya nge freeze gerak
Fahrur Rozi,5,mantap,mantap
Iqbal Suffil,1,mau login aja setengah mati,login mati
Ardhika Pmdy,1,filmnya ga lengkap woeeee,film lengkap woe
Mahira Sahara,1,"Customer service didn't help me at all, even straight up rejected me without listening to my complaint. I'm ready to give my data to customer service whatever they need, but the service is not good, it's appropriate to give a rating of 0. I'm really disappointed, even though I need my account to watch! But CS doesn't want to help me change my email, I can change it myself without bothering CS if MY EMAIL IS STILL WORKING",customer service didn help all even straight rejected without listening complaint ready give data customer service whatever they need but the service not good appropriate give rating really disappointed even though need account watch but doesn want help change email can change myself without bothering email still working
Oji Saputra,1,Saya sudah putuskan ke anggota an tapi saldo rekening saya tetap terpotong,putus anggota saldo rekening potong
Moch Rizki Firdaus,1,Gabisa masuk pake nomor hp,gabisa masuk pake nomor
Elvira Elvira,1,lemot,lot
Dejan farid,1,"jelek banget ni aplikasi, udh mah ga bisa login pake gmail atau nomor telepon harus pake kode password, dan saya minta kode pasword nya ga dikasih, ribet banget ni aplikasi pake harus apalah",jelek banget aplikasi mah login pake gmail nomor telepon pake kode password kode pasword nya kasih ribet banget aplikasi pake apa
Bia Cy,1,tidak bagus,bagus
Indah Pravitha Sari,2,"blm sebulan berlangganan malah ga bs login, aneh bgt ni aplikasi buang² duit aja..",blm bulan langgan login aneh banget aplikasi buang duit
Susila Huang,1,"lama2 jadi males langganan Netflix,karna setiap mo nonton delay,padahal sinyal bagus,udh bayar juga",males langgan netflix karna nonton delay sinyal bagus bayar
Devianita Dwi Jayanti,1,"langganan 186k, cuma bisa di laptop doank, giliran di HP cuma loading.",langgan laptop doank gilir loading
Rasdianti Anti,5,baik,
Yu Ni,1,tkw malaysia,tkw malaysia
Nof phe,1,"kalau mau nonton harus masuk/daftar dulu tapi pas saya daftar panjang prosesnya udah ada promosinya pas proses,saat udah selesai disuruh masukan sandi padahal pas awal belum disuruh buat sandi,pas mau ganti sandi prosesnya kaya dari awal terus di puter puter jadi nya saya belum bisa masuk,saya berikan masukan saat daftar/masuk beri pilihan google dan tinggal pilih akunnya trus selesai,ini membuat orang tidak bisa menonton mungkin bukan saya saja yang mengalami ini.",nonton masuk daftar pas daftar proses udah promosi pas proses udah selesai suruh masuk sandi pas suruh sandi pas ganti sandi proses kaya puter puter nya masuk masuk daftar masuk pilih google tinggal pilih akun trus selesai orang tonton alami
Dayu Kinar,4,"ada beberapa film yg ingin saya tonton di Netflix seperti beberapa series umamusume (anime), saya sangat menyukai series yg ada di Netflix, namun terkadang kualitasnya pecah².",film tonton netflix series umamusume anime suka series netflix terkadang kualitas pecah
Nur Halimah,1,bayar ihhhh,bayar
Aliyah Fairuz,1,Kenapa Netflix di Tv tidak ada tombol ke nonton???,netflix tombol nonton
Adam Rasyid Fajri,1,Burut,burut
Pria Tampan,1,"ribet amat ni aplikasi,cuma login aja ribet banget",ribet aplikasi login ribet banget
Jajang _lykan,1,"sudah berhenti langganan.. masih aja kepotong dan tau² berlangganan secara otomatis, sdah berhenti berlangganan lagi, bulan depannya kepotong lagi otomatis.. all hasil dah 6 bulan kepotong terus..",henti langgan potong tau langgan otomatis sdah henti langgan depan potong otomatis all hasil dah potong
Armansyah Amang,5,keren wak,keren wak
アタ―,1,"the shitties app ever. udh bayar preium yg paling mahal ternyata ga nyaman nontonnya. masa kecepatan video maksimal cuma 1,5. gw terbiasa nonton di speed 2. klo gitu jadi lelet dan buang waktu banget. gw balik aja ke tempat download bajakan. langsung gw cancel subcriptionnya. terbuang duit gw percuma",the shitties app ever bayar preium mahal nyaman nontonnya cepat video maksimal biasa nonton speed gitu lelet buang banget download baja langsung cancel subcriptionnya buang duit
Angelina Novia Keni,1,Sudah dibayar tapi gk bisa nonton. terus tagihan setiap bulan mau berhenti nya gk bisa,bayar nonton tagih henti nya
Choirul Anam,5,👍,
SAKARIUS,1,gajelas apk korupsi,gajelas apk korupsi
Muhammad Akbar Prayogo,1,buat pembayaran berlangganan aja susah banget anj,bayar langgan susah banget anj
Karsa erika Demiansyah2,5,keren,keren
Diserly Apri,1,lg asik nonton tiba2 eror dan gk bisa di buka lg ke apa ini,asik nonton eror buka
Rafliza,1,gembel eror mulu,gembel eror mulu
Bgssyifrmdhnn,1,"Padahal udah punya akun Netflix, eh pas mau masukin akun malah ga bisa login, udh berapa kali ganti sandi gmail sama minta kode sama aja, malah di suruh daftar akunlah, di arahin kelink gmail, link chrome. Apa harus berlangganan dulu baru bisa masuk?... Ribet banget mau nonton film aja, di mana"" kalo akun gmail udh tersangkut di apk kalo login langsung masuk walaupun kita non langganan, ini mah kga.",udah akun netflix pas masukin akun login kali ganti sandi gmail kode suruh daftar akun arahin kelink gmail link chrome langgan masuk ribet banget nonton film kalo akun gmail sangkut apk kalo login langsung masuk non langgan mah kga
Retno Wijayantie,2,"tolong masak aq mo nonton slalu gagal,perbaiki lah jgn mngecewakan,,atau suruh brhenti berlangganan?",tolong masak nonton slalu gagal baik jgn mngecewakan suruh brhenti langgan
Halimatus Sadiyah,2,kenapa anime one piece gak lengkap kecewa top up buat nonton biar hd malah gak lengkap sakit hatii tauuu,anime one piece lengkap kecewa top nonton biar lengkap sakit hati tau
Tio Tanio,1,login nya susah banget,login nya susah banget
Khalisha Luthfia Rahman Nasution,1,saya buka netflix masi aman banget namun ketika saya ingin menonton dia loading terus padahal paket data saya kencang,buka netflix mas aman banget tonton loading paket data kencang
Rei,3,aku udah login dan udah bayar juga tapi ga bisa masuk ke akun nya harus daftar ulang dan uang aku hilang gitu aja jujur kecewa sih sama Netflix aku kira ini apk yang bagus ternyata aku salah Netflix ku udah aku uninstall dan ya uang aku hilang padahal aku belum nonton sama sekali jujur kecewa banget,udah login udah bayar masuk akun nya daftar ulang uang hilang gitu jujur kecewa sih netflix apk bagus salah netflix udah uninstall uang hilang nonton jujur kecewa banget
asoe asoe,1,nonton di hp harus make data. ga bisa make wifi. di download bisa. ketika di putar ga bisa . harga berlangganan mahal tetapi ga sudai dengan aplikasi yg bobrok,nonton make data make wifi download putar harga langgan mahal suda aplikasi bobrok
Darwis Dqueen72,4,halo dengan saya pengguna netflix ini ad masalah di sambungan di tv ko gangguan padahal sudah langganan . tolong di perbarui .,halo guna netflix sambung ganggu langgan tolong baru
Kartika Sari,1,filmnya sikit kali.,film sikit kali
Muhamad Khairurizal,5,sangat baguss sekali 🔥🔥🔥,bagus
Nur Sa'adah,2,Sering banget ke log out otomatis sewaktu digunakan. Mau log in kembali error.,banget log out otomatis log error
Bibik Bik,5,aku suka bgtt karna ada KPop demon Hunter jadi walaupun gak banyak tapi gpp 😀,suka bgtt karna kpop demon hunter gpp
abi ummy,4,lumayan utk di tonton klo BS ada tv online juga supaya bintang nya full,lumayan utk tonton online bintang nya full
Ghifa Ghifi,1,"apa ini,kok gak bisa bisa login padahal sudah buat akun,malah gak ke detek,gimana ni developer buat yang ngotak lah,apl gak bisa digunakan kenapa di promosikan,dasarrr developerrrr!!!!!!!!!",login akun detek gimana developer ngotak apl promosi dasar developer
Gilang Rahadian Permana,1,"kualitas gambar ga bisa di atur langsung kaya dulu, penurunan kah?",kualitas gambar atur langsung kaya turun kah
Zahrul Setiyawan,1,Kebanyakan nyuruh gw bayar asuw baru juga downlod🙄,banyak nyuruh bayar asuw downlod
Mitha dwi.p.j,1,kenapa ga bisa login sih ini!,login sih
Andre Prasetyo,1,bad,bad
Sandy Hasjamuttar,1,aplikasi ampas,aplikasi ampas
Nazriel R. A.,1,"Saya mencoba melakukan pembayaran untuk mengecek e-wallet yang digunakan. Setelah itu, ternyata yang digunakan shopee pay dan saldonya kurang dari 50rb otomatis gagal. Selang beberapa bulan saya isi saldo 500rb dan ada notif kalo pembayarannya gagal, tapi setelah saya menggunakan saldonya 400rb, saldo saya di potong sekitar 54rb untuk berlangganan, padahal pembayaran sudah gagal kenapa masih terpotongg?????",coba bayar ecek wallet shopee pay saldo otomatis gagal selang isi saldo notif kalo bayar gagal saldo saldo potong langgan bayar gagal terpotongg
Dyllaa,1,JELEK,jelek
ULpann SRT,1,loading Mulu sialan,loading mulu sial
Rara Jungkies,5,okey,okey
Horas Andi Lao Aritonang,1,"aplikasi apaan nih. gk bisa login , gw blom punya udah si suruh login tapi gk , bikin akunnya juga ribet 🗿😒",aplikasi login blom udah suruh login akun ribet
Alfaris Ramadhan,5,Mudah,mudah
Feby Dwi ayu,5,"seru banget nonton disiniiii, ak kasi bintang 5 deh buat netflix, banya banget movie horor yang aku sukaaaa",seru banget nonton kasi bintang deh netflix banya banget movie horor suka
almiraaurelia0911,1,"udan masukin nomor WA gak bisa WA HP ku satunya lagi juga gak bisa, email udah ku masukin email 4x gak bisa masuk",udan masukin nomor satu email udah masukin email masuk
OTP_Candra wulandari,3,kenapa tidak bisa berjalan netflix nya? saya gabisa nntn karena terus memuat. padahal internet nya lancar banget,jalan netflix nya gabisa nntn muat internet nya lancar banget
Jurdin Ogi Jurdin Ogi,3,tidak berguna,guna
Aku Aku,3,Aku masih bingung cara buka aplikasi nya keluar sendiri kebanyakan keluar sendiri,bingung buka aplikasi nya banyak
Azka Emun,5,driver,driver
Ananias_ Aje,1,"buruk, tidak bermanfaat, penyedot kuota internet, sumber virus",buruk manfaat sedot kuota internet sumber virus
Alfarizi Pria,2,gak bisa login,login
leonardo Nahampun,2,penuh dengan film korea dan film serial... filmnya juga tidak ganti ganti...itu terus bertengger.,penuh film korea film serial film ganti ganti tengger
oji rojiki,1,"bug makin parah, lagi nonton keluar sendiri, begitu terus ampe kesel",bug parah nonton ampe kesel
Nur Sabrina Elvhira,5,bagus jir🤭,bagus jir
Farel Eko.C,5,jangan donwload bre gk recomend login susah kek musang aplikasi tidak bermutu film gk lengkap hapus aja dari playstore.admin dongok,donwload bre recomend login susah kek musang aplikasi mutu film lengkap hapus playstore admin dongok
Ans 0703,1,apalah baru daftar doang udah langsung disuruh premium. blom juga masuk ke menu aplikasi. sangat bintang 1,apa daftar doang udah langsung suruh premium blom masuk menu aplikasi bintang
Herman Daniel Gomes De Carvalho,5,bagus sekali saya suka,bagus suka
Karimah ayu Wulandari,1,"mau daftar masuk email udah bener tapi katanya email salah ku cek berulang² kali tetep salah, aku ganti nomor telepon udah bener tetep salah",daftar masuk email udah bener email salah cek ulang kali tetep salah ganti nomor telepon udah bener tetep salah
Andre Sucahyono,5,iyesss,iyes
Fie Hera,1,RUGIII... BERLANGGANAN CUMA 3 MINGGU NGGA GENAP SEBULAN.. SERING ERROR JUGA,rugi langgan minggu ngga genap bulan error
Rani Kia,3,"apaan sih netflix belum 1bulan udh abis gak bisa nonton lg, heran deh",sih netflix abis nonton heran deh
